PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Total annual income (£),Practice_code_weighted_tot_of_Net annual income (£),Practice_code_weighted_tot_of_Net annual income before housing costs (£),Practice_code_weighted_tot_of_Net annual income after housing costs (£)
A83630,DENHOLM HOUSE,2384,32705,25078,25000,22509
A83632,CRAGHEAD MEDICAL CENTRE,2592,27398,21845,21314,19012
A83634,WEST CORNFORTH MEDICAL CENTRE,2646,25420,20561,20550,19489
A83635,BOWBURN MEDICAL CENTRE,3727,34868,26225,26548,24890
A83636,LEADGATE SURGERY,5712,31586,24611,23768,21817
A83637,PELTON FELL SURGERY,2001,30640,23764,23351,21532
A83638,DR.BALIGA,1437,25067,19709,20399,18326
A83641,PARKGATE SURGERY,4730,28375,22770,22521,19668
A83644,ANNFIELD PLAIN SURGERY,3353,27976,22393,22109,19882
A84002,THE ROTHBURY PRACTICE,5272,38268,29851,27235,26158
A84003,LINTONVILLE MEDICAL GROUP,13232,29822,23404,24075,21514
A84005,BEDLINGTONSHIRE MED.GROUP,10969,33118,25742,25033,22763
A84006,THE BONDGATE SURGERY,8809,34056,27042,25630,24371
A84007,PONTELAND MEDICAL GROUP,10783,43307,32963,30659,28398
A84008,BELFORD MEDICAL PRACTICE,4501,29930,24829,24164,23186
A84009,WATERLOO MEDICAL GROUP,13968,30583,24692,23519,21261
A84011,WHITE MEDICAL GROUP,7127,43863,33162,30666,28857
A84013,THE GABLES MEDICAL GROUP,6266,28493,22667,22835,20338
A84014,MARINE MEDICAL GROUP,10476,30937,24990,23669,21567
A84015,LABURNUM SURGERY,2285,29038,22655,23763,21049
A84016,PRUDHOE MEDICAL GROUP,6635,37751,29527,27410,25539
A84018,CORBRIDGE HEALTH CENTRE,6827,42964,32453,30868,29248
A84020,GUIDEPOST MEDICAL GROUP,8501,31828,24978,24819,22650
A84021,INFIRMARY DRIVE MEDICAL GROUP,9568,33492,26671,25234,23780
A84022,COQUET MEDICAL GROUP,11244,32135,26247,25349,23793
A84024,BURN BRAE MEDICAL GROUP,8931,38372,29419,29117,26575
A84025,CRAMLINGTON MEDICAL GROUP,5527,33985,27427,25747,23769
A84026,WELL CLOSE MEDICAL GROUP,9325,31431,26004,23795,22270
A84027,BELLINGHAM PRACTICE,3256,36937,29128,28064,25488
A84028,SEATON PARK MEDICAL GROUP,19016,29970,23588,24049,21596
A84029,WIDDRINGTON SURGERY,2819,31878,25579,25031,23469
A84030,VILLAGE MEDICAL GROUP,9195,34996,28128,26341,24608
A84031,GREYSTOKE SURGERY,9068,41041,30583,29150,28105
A84032,CHEVIOT MEDICAL GROUP,2435,29660,24736,24097,23072
A84033,THE SELE MEDICAL PRACTICE,6070,38310,29383,29034,26506
A84034,HALTWHISTLE MEDICAL GROUP,5700,32835,25528,23988,22932
A84035,RIVERSDALE SURGERY,5869,39896,30504,28144,27027
A84036,WELLWAY MEDICAL GROUP,17548,34666,26531,26314,24724
A84037,NETHERFIELD HOUSE,5646,32523,25617,25055,23377
A84038,FORUM FAMILY PRACTICE,5908,35502,28400,26485,24793
A84039,GAS HOUSE LANE SURGERY,5127,41336,30915,29269,28180
A84040,HUMSHAUGH & WARK MED GRP,3653,37725,29366,28272,25728
A84042,SCOTS GAP MEDICAL GROUP,1880,43094,32942,30112,28459
A84043,BROCKWELL MEDICAL GROUP,17039,38460,29359,27328,26564
A84044,UNION BRAE & NORHAM PRAC,6837,31843,26136,23988,22575
A84045,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,5497,37405,28855,27345,25036
A84047,BRANCH END SURGERY,5461,42262,31999,30120,28756
A84048,STATION MEDICAL GROUP,8794,30410,24612,23405,21209
A84604,THE GLENDALE SURGERY,1945,29868,24865,24175,23142
A84609,MIDDLE FARM SURGERY,1623,35566,28476,26853,25316
A84613,HARBOTTLE SURGERY,823,37750,29531,27240,25897
A84614,THE ADDERLANE SURGERY,1966,37581,29428,27335,25440
A84619,ELSDON AVENUE SURGERY,3671,33152,26131,25359,23857
A85001,FELL TOWER MEDICAL CENTRE,7322,34888,27469,25866,23009
A85002,BENSHAM FAMILY PRACTICE,4543,31165,25784,24564,21087
A85003,ROWLANDS GILL MEDICAL CENTRE,6825,34223,28367,26530,25188
A85004,LONGRIGG MEDICAL CENTRE,10839,30081,24138,22914,20448
A85005,OXFORD TCE & RAWLING RD MEDICAL GROUP,15164,31092,25535,24505,20533
A85006,GLENPARK MEDICAL CENTRE,9232,31827,25897,24624,21660
A85007,FELL COTTAGE SURGERY,8404,35642,27825,26099,23138
A85008,BIRTLEY MEDICAL GROUP,15901,31185,25091,23695,21623
A85009,CROWHALL MEDICAL CENTRE,6679,29062,23647,22731,19641
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,11251,31859,25794,24061,22164
A85011,ST. ALBANS MEDICAL GROUP,8256,29001,23371,22726,19376
A85012,METRO INTERCHANGE SURGERY,3980,29396,24230,23283,19291
A85013,MILLENNIUM FAMILY PRACTICE,3373,30635,25015,24130,20089
A85014,CRAWCROOK MEDICAL CENTRE,7438,36232,28182,26336,25065
A85016,WREKENTON MEDICAL GROUP,10265,29652,24613,22941,20186
A85017,BEWICK ROAD SURGERY,6027,30399,25668,24285,20083
A85018,OLDWELL SURGERY,5246,31022,25406,23513,21580
A85019,CENTRAL GATESHEAD MEDICAL GROUP,10257,30557,25089,24063,20072
A85020,WHICKHAM COTTAGE MEDICAL CENTRE,16359,36041,28314,26907,25042
A85021,SECOND STREET SURGERY,2729,29747,25192,24021,19899
A85023,TEAMS MEDICAL PRACTICE,5138,28929,23950,23132,19314
A85024,CHOPWELL PRIMARY HEALTHCARE CENTRE,2686,30295,23472,23321,22183
A85026,BEACON VIEW MEDICAL CENTRE,4547,31469,25519,23951,21026
A85605,ELVASTON ROAD SURGERY,2291,34735,27279,25961,24161
A85609,108 RAWLING ROAD(RAWLING ROAD PRACTICE),1653,32688,26393,25130,21856
A85611,PELAW MEDICAL PRACTICE,5313,30272,23988,23192,20139
A85614,THE BRIDGES MEDICAL PRACTICE,4559,30715,25009,24262,19915
A85616,HOLLYHURST MEDICAL CENTRE,2485,32193,26130,24326,22459
A85617,SUNNISIDE SURGERY,3253,34348,27651,26133,24151
A85620,GRANGE ROAD MEDICAL PRACTICE,3607,35132,27526,26158,24408
A86003,SAVILLE MEDICAL GROUP,30615,32309,25322,24944,19081
A86004,PROSPECT MEDICAL CENTRE,15488,27095,22034,21381,16187
A86005,WEST FARM SURGERY,5756,34648,26943,25456,22127
A86006,ROSEWORTH SURGERY,5090,41888,31385,30378,27110
A86007,AVENUE MEDICAL PRACTICE,3038,40016,29979,29552,24027
A86008,PARK MEDICAL GROUP,11866,34625,27565,26174,22954
A86009,FALCON MEDICAL GROUP,6237,29588,23745,23288,18247
A86010,BIDDLESTONE HEALTH GROUP,9599,38075,28500,27581,22467
A86011,WALKER MEDICAL GROUP,11304,25849,21817,21044,17085
A86012,WEST ROAD MEDICAL CENTRE,9140,27144,22444,21434,16777
A86013,DENTON PARK MEDICAL GROUP,7156,29681,24448,23214,20368
A86015,HOLLY MEDICAL GROUP,8902,41619,30870,30599,25648
A86016,LANE END SURGERY,8557,40597,30402,28490,26032
A86017,CRUDDAS PARK SURGERY,9704,28547,23287,22342,17840
A86018,THE GROVE MEDICAL GROUP,12657,44713,33018,32189,28573
A86020,THE SURGERY-OSBORNE ROAD,5065,43060,31723,31435,27251
A86021,HOLMSIDE MEDICAL GROUP,9170,28608,23747,22465,19239
A86022,PARKWAY MEDICAL GROUP,7992,30822,25023,23820,21439
A86023,BENFIELD PARK MEDICAL GROUP,8498,32621,25521,24942,20026
A86024,HEATON ROAD SURGERY,7255,32229,25014,24724,19052
A86025,WESTERHOPE MEDICAL GROUP,12385,29804,24872,23111,20007
A86026,THROCKLEY PRIMARY CARE CENTRE,6550,31165,25302,23877,21772
A86027,NEWCASTLE MEDICAL CENTRE,13483,30922,23813,23913,17342
A86028,REGENT MEDICAL CENTRE,3770,40308,30364,29473,26045
A86029,THORNFIELD MEDICAL GROUP,11765,32095,25284,24972,19190
A86030,BETTS AVENUE MEDICAL GROUP,10251,29746,24636,23204,19454
A86031,FENHAM HALL SURGERY,8236,28529,23664,22466,17864
A86033,BRUNTON PARK,4468,45184,34163,32122,29965
A86035,BROADWAY MEDICAL CENTRE,2639,42481,32253,30609,28017
A86036,GOSFORTH MEMORIAL MED.CTR,8613,45266,33455,32551,28906
A86037,GRAINGER MEDICAL GROUP,6547,25996,21629,20671,16086
A86038,NEWBURN SURGERY,5372,29797,24600,23321,20814
A86040,ST.ANTHONY'S HEALTH CENTRE,6106,23821,20522,19879,15708
A86041,SWARLAND AVENUE SURGERY,4962,40470,30273,28359,25946
A86601,DENTON TURRET MEDICAL CENTRE,8239,28500,24124,22558,19288
A87002,SPRING TERRACE HEALTH CENTRE,6978,32398,25466,25147,22170
A87003,PORTUGAL PLACE HEALTH CTR,11794,30658,24677,23736,20251
A87004,COLLINGWOOD SURGERY,16959,32741,25847,25337,22437
A87005,WHITLEY BAY HEALTH CENTRE,12623,41367,31628,29892,27743
A87006,49 MARINE AVENUE SURGERY,6031,43124,32738,30500,28608
A87007,FOREST HALL HEALTH CENTRE,11033,35896,27805,26489,24398
A87008,MARINE AVENUE MEDICAL CTR,7311,43091,32828,30444,28523
A87009,PRIORY MEDICAL GROUP,14411,34835,27274,26719,23791
A87011,BEAUMONT PARK SURGERY,6596,42994,32452,30337,28852
A87012,WIDEOPEN MEDICAL CENTRE,7140,33237,25935,25475,24229
A87013,BEWICKE MEDICAL CENTRE,10119,27933,23142,21871,18589
A87014,EARSDON PARK MEDICAL PRACTICE,4291,34538,26865,25255,22809
A87015,APPLEBY SURGERY,5975,33214,26079,25640,22778
A87016,THE VILLAGE GREEN SURGERY,9611,30694,24672,23694,20215
A87017,WOODLANDS PARK HEALTH CTR,5403,35856,27640,27031,26067
A87019,NELSON MEDICAL GROUP,5817,32304,25335,25098,22093
A87020,MONKSEATON MEDICAL CENTRE,9116,42176,32256,30030,28237
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,5248,35119,27189,25534,23538
A87023,THE SMITH PRACTICE,5715,35700,27596,25803,23692
A87027,GARDEN PARK SURGERY,6855,30163,24555,23257,20348
A87029,PARK ROAD MEDICAL PRACT,4876,30226,24234,23468,19847
A87030,REDBURN PARK MEDICAL CENTRE,5079,27915,22132,22302,18760
A87600,PARK PARADE PRACTICE,4417,41714,32015,29874,27590
A87612,WELLSPRING MEDICAL PRACT.,5377,34166,26905,25490,23007
A87615,PRESTON & AUSTIN PRACTICE,4770,34178,27024,25601,23301
A88001,VICTORIA MEDICAL CENTRE,2912,29564,24333,23122,19911
A88002,FARNHAM MEDICAL CTR.,12473,28242,23303,23081,19988
A88003,MARSDEN RD. HEALTH CENTRE,11749,30821,25537,24449,22002
A88004,MAYFIELD MEDICAL GROUP,9179,28235,23224,22415,19278
