PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Index of Multiple Deprivation (IMD),Practice_code_weighted_tot_of_Income,Practice_code_weighted_tot_of_Employment,"Practice_code_weighted_tot_of_Education, Skills and Training",Practice_code_weighted_tot_of_Health Deprivation and Disability,Practice_code_weighted_tot_of_Crime,Practice_code_weighted_tot_of_Barriers to Housing and Services,Practice_code_weighted_tot_of_Living Environment
A81032,THE GARTH,10477,18436,17148,15617,19396,12811,18865,20500,27539
A81033,OAKFIELD MEDICAL PRACTICE,3469,6138,6071,5297,6978,3741,6547,24159,21897
A81034,THORNABY & BARWICK MEDICAL GROUP,21676,17080,16265,15116,16858,10159,19351,21392,30583
A81035,NEWLANDS MEDICAL CENTRE,10696,7609,7428,6672,8983,4382,7771,23998,21460
A81036,NORTON MEDICAL CENTRE,17283,13502,12825,10916,14740,7279,17265,23096,26173
A81037,THE ERIMUS PRACTICE,7176,6053,5736,5583,7463,3622,6023,24922,19235
A81038,HIRSEL MEDICAL CENTRE,3340,5801,5707,5237,6918,3414,5696,24834,20112
A81039,EAGLESCLIFFE MEDICAL PRACTICE,8955,25897,22693,20739,25896,19960,24505,23740,28339
A81040,MARSH HOUSE MEDICAL PRACTICE,8547,14639,13984,11347,14473,8593,19446,23103,29549
A81041,HART MEDICAL PRACTICE,9091,10163,9154,7764,12520,7301,10824,23104,28929
A81042,SOUTH GRANGE MEDICAL CENTRE,5997,5987,6359,4418,5826,3638,7743,22933,29791
A81043,THE MANOR HOUSE SURGERY,7965,10726,12008,8245,10519,5932,10154,22257,29604
A81044,MCKENZIE HOUSE SURGERY,14149,11360,10439,9034,13986,7764,10142,23243,27803
A81045,THE COATHAM ROAD SURGERY,7548,12593,12443,9260,15418,7289,13173,23719,24852
A81046,WOODLANDS FAMILY MEDICAL CENTRE,12898,12996,12220,10298,14941,7429,14476,21804,26070
A81047,MARSKE MEDICAL CENTRE,5710,19741,18981,13484,22927,10528,24262,25204,29383
A81048,ZETLAND MEDICAL PRACTICE,5053,18777,17878,12778,22145,9905,23876,26273,27917
A81049,KINGS MEDICAL CENTRE,5466,5716,5715,4830,6549,3430,6402,24172,22838
A81051,CAMBRIDGE MEDICAL GROUP,7445,13532,12747,11133,15977,7609,12052,25098,23077
A81052,THE GREEN HOUSE SURGERY,7328,12199,11996,9014,14774,7138,12972,22047,26242
A81053,WOODSIDE SURGERY,6602,5950,5657,3571,6065,4249,14316,26798,21063
A81054,THE SALTSCAR SURGERY,7942,12147,12013,9003,14910,7120,12816,22657,25539
A81056,MELROSE SURGERY,2583,14563,13965,11039,14515,8392,19722,23726,29146
A81057,KINGSWAY MEDICAL CENTRE,8708,13525,12870,10363,13344,7993,19724,23381,28762
A81058,COULBY MEDICAL PRACTICE,7505,13410,13517,10734,15808,7344,15809,16266,29800
A81060,THE KOH PRACTICE,5329,11001,10087,8657,13643,7386,10180,23670,27215
A81063,THE HEADLAND MEDICAL CENTRE,5317,8461,7362,6157,10687,6276,10685,24293,28296
A81064,THE DISCOVERY PRACTICE,6260,7960,7727,7279,9287,4626,7627,24254,19777
A81065,THE ESTON SURGERY,3360,5211,5468,3879,5221,3305,7101,22198,30067
A81066,PARK LANE SURGERY,4194,19480,19359,16821,23547,12152,22216,15061,28935
A81067,ALMA MEDICAL CENTRE,10554,7394,7394,6665,8051,3588,11596,21139,25082
A81069,RAINBOW SURGERY,1584,10936,10711,7968,13559,6316,12166,22698,25342
A81070,WYNYARD ROAD PRIMARY CARE CENTRE,1992,5528,4533,3954,6919,4280,7388,25266,28949
A81602,DR RASOOL,2520,16147,15639,12554,16119,9363,20828,22860,29295
A81605,PARK AVENUE SURGERY,2437,14200,14176,10633,17367,8180,12201,27173,22617
A81608,ELM TREE SURGERY,2618,7946,7557,6839,9181,4452,10665,23740,26540
A81609,A & B MEDICAL PRACTICE,1452,5791,5527,4827,6907,3140,8859,23185,25625
A81610,THE ROSEBERRY PRACTICE,8328,15332,14828,11974,15304,9034,20492,22887,29027
A81611,PARKWAY MEDICAL CENTRE,5056,14065,14013,11429,16540,7725,16768,16650,29761
A81612,THE PATEL PRACTICE,2960,15808,13913,11995,18948,8293,17237,24386,29209
A81613,JOURNEE MEDICAL PRACTICE,3369,8573,7797,6663,11151,6072,8256,23758,26239
A81618,HUNTCLIFF SURGERY,7582,15067,13646,10779,18507,7514,20857,28378,22970
A81621,THORNTREE SURGERY,2279,1082,1073,974,1351,902,2984,22536,25238
A81622,GLADSTONE HOUSE SURGERY,5162,7965,7359,6194,11002,5669,7256,24335,25103
A81623,NORTH SHORE MEDICAL PRACTICE,1633,7383,7084,5954,8561,4020,10662,22476,27438
A81629,RIVERSIDE MEDICAL PRACTICE,3889,9730,9210,7827,11305,5587,11870,22473,25602
A81630,FULCRUM MEDICAL PRACTICE,737,2335,2148,2643,3656,1684,3302,24162,17001
A81631,WEST VIEW MILLENIUM SURGERY A,6382,10479,9522,8123,12685,7595,10930,22391,29305
A81632,LAWSON STREET PRACTICE,693,5204,4742,4347,6513,3242,7744,24029,23567
A81633,HAVEN MEDICAL PRACTICE,670,1450,1405,2563,2238,1128,1550,25899,9935
A81634,THE ARRIVAL PRACTICE,1496,1912,1568,1829,3812,1274,3208,25646,19607
A82003,ULVERSTON HEALTH CENTRE (MURRAY),10628,20221,20660,17776,21855,17591,29393,22485,10722
A82004,ALSTON MEDICAL PRACTICE,2328,14583,14156,14945,11961,20211,21862,17019,3815
A82005,AMBLESIDE HEALTH CENTRE,5119,22307,25527,27382,17970,24350,24141,14264,7039
A82006,APPLEBY MEDICAL PRACTICE,4843,18268,22053,21350,13679,22972,29583,15017,8119
A82007,DUKE STREET SURGERY,9396,10445,12812,9875,12885,3901,19423,28674,10768
A82008,NORWOOD MEDICAL CENTRE,11041,11462,14112,10753,14471,3780,20331,29428,11201
A82009,BRIDGEGATE MEDICAL CENTRE,8776,10355,12607,9603,12832,3658,19179,28951,11596
A82010,ABBEY ROAD SURGERY,6505,13364,16182,12527,16591,4402,22127,29316,12158
A82011,HARTINGTON STREET MEDICAL PRACTICE,2589,8906,11145,8438,11527,3033,17890,29809,9334
A82012,BRAMPTON MEDICAL PRACTICE,15206,19944,22432,20814,20585,20395,29216,12158,14040
A82013,UPPER EDEN MEDICAL PRACTICE,6689,14160,20092,20221,12981,23792,28922,11516,2579
A82014,CALDBECK SURGERY,4302,16590,24991,25223,21441,23547,28491,4638,3862
A82015,WARWICK ROAD SURGERY,5897,11454,12816,10760,8816,8540,14322,24574,18403
A82016,ST PAUL'S MEDICAL PRACTICE,14364,14960,16407,13882,11810,11422,17207,22052,20051
A82017,BRUNSWICK HOUSE MEDICAL GROUP,14622,11574,12883,10680,8565,8805,14366,24525,19066
A82018,SPENCER ST SURGERY,11741,14092,15439,13077,11198,10584,16508,23337,19190
A82019,FUSEHILL MEDICAL PRACTICE,8333,13952,15213,12977,11257,10366,15908,24010,18591
A82020,EDEN MEDICAL GROUP,14675,13717,15078,12608,10236,10018,16248,23387,20477
A82021,CASTLEGATE SURGERY,10467,21276,23053,21254,22405,19180,29112,15158,15231
A82022,DALSTON MEDICAL GROUP,5033,19264,23605,20353,19486,18629,24160,9756,14234
A82023,DISTINGTON SURGERY,3808,12665,15500,11986,12775,8945,26242,11102,18138
A82024,SEASCALE HEALTH CENTRE,5627,20091,24671,21254,23269,15191,32226,14309,8819
A82025,CAPTAIN FRENCH SURGERY,9320,20634,21205,19709,19459,19976,24973,20311,12490
A82026,THE JAMES COCHRANE PRACT.,16176,22218,23552,22094,20344,22219,26918,18922,12425
A82027,STATION HOUSE SURGERY,10968,21415,22687,21268,19179,21622,26105,19927,11948
A82028,CASTLEHEAD MEDICAL CENTRE,6475,21839,25431,26169,18172,24173,28151,15299,7367
A82029,THE CROFT SURGERY,3369,15610,22326,20126,16772,20230,24883,4426,5078
A82030,LUNESDALE SURGERY,5977,22869,26522,25126,25724,20429,29741,11272,8086
A82031,SHAP MEDICAL PRACTICE,2843,18375,24160,24244,13287,24170,28091,13464,2991
A82032,MARYPORT HEALTH SERVICES,13662,10472,10440,7674,7719,10094,17089,26777,18196
A82033,WATERLOO HOUSE SURGERY,8408,9914,12832,10172,8810,5824,29761,26483,6493
A82034,STONELEIGH SURGERY,6610,26346,27127,25384,23111,25727,29837,18800,12255
A82035,BIRBECK MEDICAL GROUP,15867,19656,22370,21928,16123,22101,27458,15184,11466
A82036,THE LAKES MEDICAL PRACTICE,9094,19623,22230,21808,15984,21900,27204,15524,11586
A82037,SILLOTH GROUP MEDICAL PRACTICE,4230,11258,13175,10668,9967,11006,22960,16301,7863
A82038,TEMPLE SOWERBY MEDICAL PRACTICE,4475,18251,24594,26081,15229,26138,30154,8961,4068
A82039,DALTON SURGERY,7598,16524,19570,16337,16669,8697,27998,26543,9266
A82040,CATHERINE STREET SURGERY,2684,12148,14346,10834,10288,6527,21843,18023,23641
A82041,LOWTHER MEDICAL CENTRE,10659,12482,14627,11167,10323,6729,22581,17431,23982
A82044,FELLVIEW HEALTHCARE LTD,22152,12939,14970,11483,11881,7354,22873,20247,20468
A82045,WIGTON GROUP MEDICAL PRACTICE,8174,15920,17680,15863,13807,15909,26137,16841,13329
A82046,WINDERMERE HEALTH CENTRE,5728,22075,23376,23399,17927,25217,23750,17546,8496
A82047,JAMES STREET GROUP PRACT,8987,11286,13018,9989,9338,8891,14411,22955,18042
A82048,BEECHWOOD GROUP PRACTICE,6655,12203,13832,10603,10046,9552,16126,23173,18032
A82049,ORCHARD HOUSE SURGERY,5319,11729,13135,9962,9406,9113,16202,23210,18817
A82050,OXFORD STREET SURGERY,7091,12985,14710,11436,10997,10139,17679,21230,17950
A82052,NORTH CARLISLE MEDICAL PRACTICE,7420,23161,22790,20382,21593,15866,26795,18482,24675
A82053,NUTWOOD MEDICAL PRACTICE,4675,22939,24861,21481,23835,22484,30017,19316,10151
A82055,ASPATRIA MEDICAL GROUP,7001,13504,16210,13713,10491,14814,25901,14010,9072
A82057,DERWENT HOUSE SURGERY,6633,21647,23916,22269,23543,19883,29388,14002,14462
A82058,QUEEN STREET MEDICAL PRACTICE,4082,14819,17025,13438,13258,8358,23448,17618,22870
A82060,WHITEHAVEN MEDICAL CENTRE,1803,12709,14740,11467,10972,7278,22605,17592,23148
A82062,ATKINSON HEALTH CENTRE (WIEJAK),4819,9181,11453,8616,11697,3285,18069,29289,10163
A82063,BANK STREET SURGERY,1747,22016,25170,26110,18149,23870,27617,16483,7777
A82064,WESTCROFT HOUSE SURGERY,4624,14291,15608,12385,13463,8103,24458,20411,20187
A82065,PENINSULA MEDICAL PRACTICE,2959,22939,23712,21997,21311,21492,29829,24255,8571
A82068,ULVERSTON HEALTH CENTRE (HAMBLY),3944,19762,20309,17413,21613,17320,29271,22243,10429
A82070,ST.MARY'S SURGERY,5982,21817,23837,23514,18145,25601,27091,14426,7339
A82071,BURNETT EDGAR MEDICAL CTR,4350,11576,14109,10538,13929,4356,23848,28211,11039
A82072,RISEDALE SURGERY,4546,11210,13686,10626,13748,4234,19905,28185,11057
A82074,ARNSIDE SURGERY,2394,27841,27866,25238,28471,23581,31742,14956,17256
A82075,MANSION HOUSE SURGERY,6463,12870,15079,11599,10857,7087,22587,17601,23579
A82077,LIVERPOOL HOUSE SURGERY,5327,11678,14066,10897,14209,4245,20518,28837,11965
A82608,SEDBERGH HEALTH CENTRE (LUMB),4116,18509,24919,24097,21007,25748,30214,12337,2016
A82613,WRAYSDALE HOUSE SURGERY,955,20217,29101,30228,26123,28108,30067,3579,1522
A82617,KIRKOSWALD SURGERY,2301,19841,23798,25681,24153,27190,32542,5375,2724
A82619,NELSON STREET SURGERY,1639,15727,18750,15601,16459,8388,26994,27087,8883
A82620,GLENRIDDING HEALTH CENTRE,732,16390,27615,30098,21928,30484,29392,1139,1099
A82621,ASKAM SURGERY,1598,16205,18642,13910,13991,7954,29536,30667,8803
A82623,SOLWAY HEALTH SERVICES,5453,12114,13916,10640,10126,9446,15963,22587,17688
A82629,THE FAMILY PRACTICE,3788,9067,11254,8657,11608,3390,17396,29171,9971
A82631,COURT THORN SURGERY,2951,19150,24821,25214,20844,23757,29916,6213,5272
A82635,GROSVENOR HOUSE SURGERY (W),1980,13807,15339,12738,10821,10494,15747,23599,18955
A82641,GROSVENOR HOUSE SURGERY (F),1972,14754,16270,13665,11952,11129,16824,22792,19762
A82642,HAWKSHEAD MEDICAL PRACTICE,1195,18186,26687,24224,24285,27250,30496,3000,2745
A82646,LONGTOWN MEDICAL CENTRE,3535,9015,15059,13623,6436,9266,19870,14467,4347
A82647,CARTMEL SURGERY,2376,23419,25256,23818,23545,23986,30141,22027,6737
A82650,HAVERTHWAITE SURGERY,2746,18584,26450,25595,23641,25408,31132,7128,2941
A82651,DUDDON VALLEY MEDICAL PRACTICE,3353,21114,23987,24139,23656,20773,31756,21677,3514
A82654,GROSVENOR HOUSE SURGERY (A),3992,13688,15304,12607,10394,10302,15480,23387,19862
A83001,ST ANDREW'S MEDICAL PRACTICE,10332,12506,12130,9658,12039,8946,11509,22026,30607
A83003,WILLINGTON MEDICAL GROUP,9152,8869,8274,6149,14196,5718,9053,21992,28162
A83004,DR. K R KAPOOR & PARTNER,3682,10195,9418,6985,10352,6547,12418,27337,31145
A83005,WHINFIELD MEDICAL PRACTICE,11446,13501,13302,11576,12125,9062,10764,25034,27353
A83006,ORCHARD COURT SURGERY,7727,13076,12937,11531,12802,9555,8193,27959,24182
A83007,DR. P. BURRELL & PARTNERS,9386,6088,7756,4185,8898,3365,5236,24188,29965
A83008,HALLGARTH SURGERY,5530,4572,4034,3475,7077,4222,3278,28262,24347
A83009,BRIDGE END SURGERY,8798,17609,16789,14908,18486,10817,16281,22035,30654
A83010,MOORLANDS SURGERY,14556,16221,16047,14492,16065,11307,11146,25785,27278
A83011,CLAYPATH & UNIVERSITY MEDICAL GROUP,27599,24571,28469,28171,27732,14671,18567,15786,21342
A83012,WILLIAM BROWN CENTRE,15116,7487,8575,4933,9902,4665,6687,23707,31030
A83013,NEASHAM ROAD SURGERY,11116,9291,9239,8871,7714,6925,6035,28034,25070
A83014,BELMONT & SHERBURN MEDICAL GROUP,7907,18226,17325,14385,17840,11000,17157,25008,31069
A83015,STATION VIEW MEDICAL CENTRE,10386,9743,9750,7496,11889,6135,9196,23929,26860
A83016,TANFIELD VIEW MEDICAL GROUP,11584,8625,7231,6087,9243,5782,12141,24847,29694
A83017,DR NAING & PARTNERS,7483,6242,6294,3938,7484,4492,5498,27552,31926
A83018,CONSETT MEDICAL CENTRE,19397,13115,11034,9703,14654,7917,15938,24735,28897
A83019,STATION ROAD SURGERY,5122,5696,6457,3599,7611,3630,5291,25427,30533
A83020,NORTH HOUSE SURGERY,13499,10338,8754,7157,13790,6779,15425,20771,27016
A83021,AUCKLAND MEDICAL GROUP,13574,9777,9501,7563,10775,6017,10194,25165,27415
A83022,THE MEDICAL GROUP,23804,12043,11209,8514,13362,8231,13476,22949,28991
A83023,STANLEY MEDICAL GROUP,10844,7613,6369,5328,8234,5487,10627,25240,29245
A83024,WEST RAINTON SURGERY,5811,12222,11587,9115,13177,7615,10931,28262,30519
A83025,BISHOPGATE MEDICAL CENTRE,13708,7697,7589,5836,10122,4974,7226,24210,27125
A83026,SACRISTON MEDICAL CENTRE,9734,12228,12063,8812,12366,7121,11373,26974,30998
A83027,COXHOE MEDICAL PRACTICE,6228,16727,15786,12867,17682,7778,17942,23936,31572
A83028,GROUP PRACTICE SURGERY,10082,17340,16757,13902,17805,11070,17780,20204,31018
A83029,THE SURGERY GREAT LUMLEY,4820,19181,16548,13679,20868,10828,19495,28107,31960
A83030,DUNELM MEDICAL PRACTICE,12069,16234,15642,13295,16540,9896,17057,23501,30668
A83031,CARMEL MEDICAL PRACTICE,10051,19848,19491,17551,20682,13788,12499,26239,27283
A83032,COCKFIELD SURGERY,2451,11699,11441,10275,12918,11071,15165,20637,13953
A83033,DR TYSON AND PARTNERS,8727,12222,11963,10467,11684,8038,9999,24820,30011
A83034,BLACKETTS MEDICAL PRACTICE,10069,15212,14960,13346,16581,10841,8897,27635,23719
A83035,THE WEARDALE PRACTICE,7119,15118,15827,12553,19666,11343,21512,17247,12762
A83036,CHASTLETON MEDICAL GROUP,11650,25282,24778,20980,25859,15830,26405,22161,30288
A83037,BEWICK CRESCENT SURGERY,13831,13148,12642,10330,14737,7738,14645,21650,30315
A83038,CEDARS MEDICAL GROUP,5829,16999,14415,13110,17281,9556,20532,25487,30717
A83040,CLIFTON COURT MEDICAL PRACTICE,11868,9914,9952,9114,9073,7281,6701,27470,24190
A83041,DR D S RANGAR & PARTNERS,7674,9616,10394,6945,7457,6604,6840,27829,32242
A83042,DR SIMPSON & PARTNERS,4979,7951,8930,5292,10540,5196,6684,24582,30300
A83043,OLD FORGE SURGERY,2695,15249,20607,20151,17862,14041,24675,5096,4267
A83044,THE HORDEN GROUP PRACTICE,6966,5516,6560,3520,7993,3320,5333,24503,31044
A83045,DR.OAKENFULL & PARTNERS,15023,7715,6651,5382,8509,5715,7867,26696,30739
A83046,BARNARD CASTLE SURGERY,10381,19439,19646,18945,19263,15010,25312,16950,21074
A83047,DENMARK STREET SURGERY,14015,12854,12647,11523,12237,8870,8781,27319,24748
A83048,ROCKLIFFE COURT SURGERY,5518,23292,23012,20257,25104,20072,17997,17944,24996
A83049,QUEENS ROAD SURGERY,12732,15246,12704,11339,17702,9787,18041,24669,28558
A83050,CESTRIA HEALTH CENTRE,11718,18991,18408,16589,20314,12037,17525,19729,31296
A83051,MARLBOROUGH SURGERY,10208,11797,11204,8380,11930,7171,13415,27074,30894
A83052,DR.WOOD & PARTNERS,8902,11791,11479,9113,11277,8304,10913,23134,30729
A83054,DR.JONES & PARTNERS,15506,16163,16347,13440,19337,9772,14247,25896,29715
A83055,CHEVELEY PARK MEDICAL CTR,3868,23873,23144,19371,23300,14141,21879,27046,30368
A83057,SHINWELL MEDICAL GROUP,5553,4478,5444,2838,6719,2647,4334,25562,30597
A83060,PINFOLD MEDICAL PRACTICE,3047,13778,14244,12352,14758,12726,20092,15674,11993
A83061,GAINFORD SURGERY,3300,20634,23472,22460,25260,19577,25397,6016,11673
A83066,JUBILEE MEDICAL GROUP,8654,11396,10742,9031,13590,7398,12388,20626,27567
A83068,JUPITER HOUSE,1650,5121,6372,3243,7353,2952,4978,24854,31102
A83070,FELIX HOUSE SURGERY,5586,23647,23561,20286,22929,16721,19849,16635,31004
A83071,THE NEW SEAHAM MEDICAL GROUP,5120,12439,11801,8841,12497,7552,13897,27117,31005
A83072,LANCHESTER MEDICAL CENTRE,3879,21730,19219,17056,23275,14015,23806,24252,27567
A83073,DRS LAMBERT & NG,4971,7760,6387,5265,8514,5489,11227,26419,29174
A83074,PEASEWAY MEDICAL CENTRE,11322,10489,9766,8051,11783,6272,12505,21136,30520
A83075,DR KV REDDY,4697,11929,11311,8408,12133,7329,13698,26820,31074
A83076,DIPTON SURGERY,2688,11393,9243,8268,12248,6770,16388,23985,30245
A83603,DR.ROY,2766,11636,11244,8995,11377,8296,10465,22810,30526
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,2771,7823,8744,5316,10458,5239,5729,26141,29624
A83616,DR MUDALAGIRI,2304,5415,6305,3315,6918,3196,5378,27104,30925
A83617,BROWNEY HOUSE SURGERY,2719,14423,13986,11093,15378,8445,14508,23173,28448
A83618,OAKFIELDS HEALTH CENTRE,4037,13589,11890,10216,16727,11005,17219,14892,28008
A83619,DR. S H S MANSOUR,2761,5226,5927,3318,6968,3326,4981,25919,30698
A83622,THE HAVEN SURGERY,1693,10924,8180,7604,8025,8961,20286,28486,28255
A83626,EVENWOOD MEDICAL PRACTICE,1993,8542,8881,6813,9001,6430,11267,23121,20674
A83627,SILVERDALE FAMILY PRACTICE,4573,7000,7570,4691,8092,4223,5558,28383,31444
A83630,DENHOLM HOUSE,2384,10453,9584,6947,11443,6610,12417,25324,31635
A83632,CRAGHEAD MEDICAL CENTRE,2592,6566,5437,4382,6643,5621,9737,26013,28156
A83634,WEST CORNFORTH MEDICAL CENTRE,2646,5269,4401,2963,9229,2237,9780,28378,32172
A83635,BOWBURN MEDICAL CENTRE,3727,15303,13188,13107,14785,7551,20441,26004,32167
A83636,LEADGATE SURGERY,5712,10921,9189,7520,12578,7015,14541,24120,29385
A83637,PELTON FELL SURGERY,2001,10719,10358,9168,10130,7096,10221,23758,29906
A83638,DR.BALIGA,1437,5020,4564,3824,7361,4197,4076,27209,24967
A83641,PARKGATE SURGERY,4730,7877,7830,7310,7077,5953,5506,27574,23664
A83644,ANNFIELD PLAIN SURGERY,3353,7645,6315,4944,8552,5527,10904,27226,28609
A84002,THE ROTHBURY PRACTICE,5272,18550,22180,21104,25943,21499,30047,2947,11231
A84003,LINTONVILLE MEDICAL GROUP,13232,9353,10169,7172,10051,6581,8401,21071,30608
A84005,BEDLINGTONSHIRE MED.GROUP,10969,14328,13800,11892,14945,10670,10039,23325,31889
A84006,THE BONDGATE SURGERY,8809,20172,20079,18583,17579,19935,23419,17617,19607
A84007,PONTELAND MEDICAL GROUP,10783,26615,26784,25151,27254,22089,26120,14322,28874
A84008,BELFORD MEDICAL PRACTICE,4501,13501,16935,16549,11560,18770,27935,7670,4570
A84009,WATERLOO MEDICAL GROUP,13968,9197,10165,8129,9593,9264,6124,17443,30959
A84011,WHITE MEDICAL GROUP,7127,25553,25996,24848,27498,22866,26711,14393,24467
A84013,THE GABLES MEDICAL GROUP,6266,9403,9252,6874,10308,7194,7732,23338,30210
A84014,MARINE MEDICAL GROUP,10476,10277,11320,9093,10735,10010,7054,17307,30981
A84015,LABURNUM SURGERY,2285,6442,7004,4755,7518,4725,5827,23276,30231
A84016,PRUDHOE MEDICAL GROUP,6635,21216,17694,15970,18142,16766,23926,24002,31177
A84018,CORBRIDGE HEALTH CENTRE,6827,24432,26191,23197,27259,22575,29456,11119,19668
A84020,GUIDEPOST MEDICAL GROUP,8501,12233,12349,8994,11194,7984,12209,25587,31393
A84021,INFIRMARY DRIVE MEDICAL GROUP,9568,19845,18978,17140,17739,18996,21628,18472,23966
A84022,COQUET MEDICAL GROUP,11244,13311,13448,10247,9839,11759,16007,20948,30658
A84024,BURN BRAE MEDICAL GROUP,8931,22270,21414,19991,24026,19588,23987,14352,24579
A84025,CRAMLINGTON MEDICAL GROUP,5527,13522,14443,11642,12487,9725,17845,11046,30816
A84026,WELL CLOSE MEDICAL GROUP,9325,13354,13778,10714,10922,13521,19563,18835,20443
A84027,BELLINGHAM PRACTICE,3256,16391,21514,20084,15667,24544,30351,3029,5300
A84028,SEATON PARK MEDICAL GROUP,19016,10210,11034,7793,10375,7559,9161,19659,30829
A84029,WIDDRINGTON SURGERY,2819,15242,14270,10253,13629,11613,22144,21094,30882
A84030,VILLAGE MEDICAL GROUP,9195,16280,17567,14186,15008,11272,19726,11028,30721
A84031,GREYSTOKE SURGERY,9068,21444,22716,18400,25427,17230,20820,15891,28214
A84032,CHEVIOT MEDICAL GROUP,2435,14794,17309,17161,12686,22098,27948,12943,11819
A84033,THE SELE MEDICAL PRACTICE,6070,22148,21382,19975,23925,19591,24140,14303,23528
A84034,HALTWHISTLE MEDICAL GROUP,5700,14674,15981,15163,9835,15537,25498,20295,16256
A84035,RIVERSDALE SURGERY,5869,22690,20665,18537,22408,18003,23612,22538,28166
A84036,WELLWAY MEDICAL GROUP,17548,14341,15246,11527,16127,11405,14911,16582,29789
A84037,NETHERFIELD HOUSE,5646,13603,13060,9604,11983,10015,12631,24429,31100
A84038,FORUM FAMILY PRACTICE,5908,16787,18021,14722,15465,11700,20399,10760,31004
A84039,GAS HOUSE LANE SURGERY,5127,21100,22770,18468,25706,17646,20802,14280,27253
A84040,HUMSHAUGH & WARK MED GRP,3653,20121,23464,24268,23260,22253,29567,8606,6567
A84042,SCOTS GAP MEDICAL GROUP,1880,18042,23540,25322,24684,24559,29587,2819,7039
A84043,BROCKWELL MEDICAL GROUP,17039,18721,18952,16344,17311,13631,19694,14701,31455
A84044,UNION BRAE & NORHAM PRAC,6837,13093,14056,10676,11499,14722,21573,16080,18959
A84045,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,5497,17835,20800,20224,19672,20530,28758,12941,5985
A84047,BRANCH END SURGERY,5461,24955,24535,23226,25889,20501,28225,15635,23678
A84048,STATION MEDICAL GROUP,8794,9639,10672,8543,9968,9586,6321,17416,31010
A84604,THE GLENDALE SURGERY,1945,15402,17342,17605,12458,22045,27434,14450,13262
A84609,MIDDLE FARM SURGERY,1623,25597,25799,21588,27847,20094,29401,13498,23078
