PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Index of Multiple Deprivation (IMD),Practice_code_weighted_tot_of_Income,Practice_code_weighted_tot_of_Employment,"Practice_code_weighted_tot_of_Education, Skills and Training",Practice_code_weighted_tot_of_Health Deprivation and Disability,Practice_code_weighted_tot_of_Crime,Practice_code_weighted_tot_of_Barriers to Housing and Services,Practice_code_weighted_tot_of_Living Environment
A81032,THE GARTH,10477,18039,16598,15094,19225,12746,16919,22406,27216
A81033,OAKFIELD MEDICAL PRACTICE,3469,6268,6357,5557,6722,4142,6982,19539,21663
A81034,THORNABY & BARWICK MEDICAL GROUP,21676,17440,16797,15842,17987,11309,22241,17565,28167
A81035,NEWLANDS MEDICAL CENTRE,10696,7729,7852,6981,8302,4834,8098,18962,21144
A81036,NORTON MEDICAL CENTRE,17283,14230,13712,11184,14775,9317,17226,22298,25136
A81037,THE ERIMUS PRACTICE,7176,6096,6152,5837,6611,3888,6455,19054,18914
A81038,HIRSEL MEDICAL CENTRE,3340,5889,5974,5403,6418,3789,6060,19530,19779
A81039,EAGLESCLIFFE MEDICAL PRACTICE,8955,25685,23221,21607,26914,19202,27059,20204,27908
A81040,MARSH HOUSE MEDICAL PRACTICE,8547,14726,14903,11698,14028,10098,19101,19325,28744
A81041,HART MEDICAL PRACTICE,9091,10602,9619,7747,12195,6858,16369,24185,27193
A81042,SOUTH GRANGE MEDICAL CENTRE,5997,6525,6584,4898,6433,3957,7770,23918,29472
A81043,THE MANOR HOUSE SURGERY,7965,11352,12012,8715,11456,6766,11018,22020,29477
A81044,MCKENZIE HOUSE SURGERY,14149,12084,11309,8979,13812,7592,16095,24142,26772
A81045,THE COATHAM ROAD SURGERY,7548,13825,12907,10318,14621,8397,17630,25898,24839
A81046,WOODLANDS FAMILY MEDICAL CENTRE,12898,13880,12599,10635,14546,9801,16053,21473,25408
A81047,MARSKE MEDICAL CENTRE,5710,21215,19252,15406,20999,13061,28146,26420,29256
A81048,ZETLAND MEDICAL PRACTICE,5053,19976,17885,14422,20477,11984,27147,27009,28162
A81049,KINGS MEDICAL CENTRE,5466,5916,6050,5081,6360,3812,6935,19596,22699
A81051,CAMBRIDGE MEDICAL GROUP,7445,13636,13351,11793,14853,8288,11802,21668,23259
A81052,THE GREEN HOUSE SURGERY,7328,13504,12551,10144,13999,8256,17739,24700,26111
A81053,WOODSIDE SURGERY,6602,5804,5710,3926,5696,4364,14566,27342,19467
A81054,THE SALTSCAR SURGERY,7942,13483,12648,10155,14140,8276,17255,25149,25402
A81056,MELROSE SURGERY,2583,14727,14746,11437,13978,9923,18831,20843,28209
A81057,KINGSWAY MEDICAL CENTRE,8708,13741,13630,10688,13041,9486,18820,20921,27948
A81058,COULBY MEDICAL PRACTICE,7505,13825,13951,11735,15770,7820,15856,15124,29776
A81060,THE KOH PRACTICE,5329,11759,10967,8588,13549,7309,15669,24845,26196
A81063,THE HEADLAND MEDICAL CENTRE,5317,8893,7871,6173,10404,5826,15281,25705,26724
A81064,THE DISCOVERY PRACTICE,6260,8031,8159,7616,8551,5104,7877,18772,19332
A81065,THE ESTON SURGERY,3360,5731,5781,4388,5789,3533,6912,23516,29741
A81066,PARK LANE SURGERY,4194,20577,20316,17371,23929,14503,27429,15468,26838
A81067,ALMA MEDICAL CENTRE,10554,7939,7551,6820,8192,4693,12770,20303,24328
A81069,RAINBOW SURGERY,1584,12131,11212,8858,12926,7302,16771,25300,25256
A81070,WYNYARD ROAD PRIMARY CARE CENTRE,1992,6207,5308,4040,6701,4163,12571,26819,28604
A81602,DR RASOOL,2520,16260,16527,12930,15791,11051,20094,19495,28623
A81605,PARK AVENUE SURGERY,2437,15738,14472,11952,16472,9209,18914,28066,23139
A81608,ELM TREE SURGERY,2618,8714,7923,7252,9591,5634,12263,22701,24918
A81609,A & B MEDICAL PRACTICE,1452,6333,5877,4980,6767,4242,10064,21549,24759
A81610,THE ROSEBERRY PRACTICE,8328,15463,15626,12362,14957,10686,19422,20282,28126
A81611,PARKWAY MEDICAL CENTRE,5056,14604,14547,12556,16692,8154,16770,15387,29849
A81612,THE PATEL PRACTICE,2960,16304,14312,11211,18761,9436,22371,25092,28635
A81613,JOURNEE MEDICAL PRACTICE,3369,9313,8546,6666,11074,5869,13641,25345,24758
A81618,HUNTCLIFF SURGERY,7582,15434,13114,11186,18853,8385,21336,28231,24238
A81621,THORNTREE SURGERY,2279,1227,1155,985,1728,1139,4808,15517,24917
A81622,GLADSTONE HOUSE SURGERY,5162,8714,8068,6240,10979,5460,12630,25727,23356
A81623,NORTH SHORE MEDICAL PRACTICE,1633,8050,7550,6287,8416,5339,11697,21295,26470
A81629,RIVERSIDE MEDICAL PRACTICE,3889,10410,9598,8108,11001,7328,13291,21433,24563
A81630,FULCRUM MEDICAL PRACTICE,737,2357,2452,2707,2835,1821,3913,17941,16378
A81631,WEST VIEW MILLENIUM SURGERY A,6382,10886,9983,8148,12358,7106,16579,23431,27650
A81632,LAWSON STREET PRACTICE,693,5672,5116,4469,6357,3995,9207,21543,22343
A81633,HAVEN MEDICAL PRACTICE,670,1408,1629,2490,1615,1495,1727,18866,9058
A81634,THE ARRIVAL PRACTICE,1496,2282,1820,1862,3380,1693,5283,22450,18318
A82003,ULVERSTON HEALTH CENTRE (MURRAY),10628,19175,19848,16845,22326,14718,27858,22596,11655
A82004,ALSTON MEDICAL PRACTICE,2328,15156,16096,14996,12327,21175,29512,13979,3425
A82005,AMBLESIDE HEALTH CENTRE,5119,21345,26415,27995,20028,23489,24354,14153,5401
A82006,APPLEBY MEDICAL PRACTICE,4843,18999,23697,23434,15150,24116,27596,14650,7186
A82007,DUKE STREET SURGERY,9396,10407,12923,9811,12475,4178,17630,27848,9698
A82008,NORWOOD MEDICAL CENTRE,11041,11578,14270,10830,14014,4384,18601,28506,10128
A82009,BRIDGEGATE MEDICAL CENTRE,8776,10306,12810,9627,12179,3932,17199,28352,10278
A82010,ABBEY ROAD SURGERY,6505,13507,16309,12622,16119,5117,20170,28695,11176
A82011,HARTINGTON STREET MEDICAL PRACTICE,2589,8951,11412,8467,10891,3431,16082,28749,8157
A82012,BRAMPTON MEDICAL PRACTICE,15206,19010,22981,21161,20552,19492,29743,10267,11669
A82013,UPPER EDEN MEDICAL PRACTICE,6689,15057,21609,20757,16211,24532,26290,9371,2932
A82014,CALDBECK SURGERY,4302,17835,26929,26120,22749,24635,30893,4483,3966
A82015,WARWICK ROAD SURGERY,5897,11247,13363,11138,8462,7808,14376,22192,16259
A82016,ST PAUL'S MEDICAL PRACTICE,14364,14690,16925,14216,11619,10579,17688,19950,18117
A82017,BRUNSWICK HOUSE MEDICAL GROUP,14622,11267,13326,11095,8268,7821,14028,21881,16869
A82018,SPENCER ST SURGERY,11741,13898,16008,13406,10901,9854,17058,21281,17312
A82019,FUSEHILL MEDICAL PRACTICE,8333,13914,15933,13502,10953,9717,16270,22347,16738
A82020,EDEN MEDICAL GROUP,14675,13569,15454,12913,10084,9300,17210,21483,18545
A82021,CASTLEGATE SURGERY,10467,21368,22897,20939,23030,19223,27887,17067,16648
A82022,DALSTON MEDICAL GROUP,5033,19078,24716,20685,20512,18349,25538,8969,12719
A82023,DISTINGTON SURGERY,3808,12597,16406,12433,13710,8948,21005,8882,17362
A82024,SEASCALE HEALTH CENTRE,5627,20268,26963,22529,24431,18164,30636,10581,7924
A82025,CAPTAIN FRENCH SURGERY,9320,21311,21948,20709,20313,18580,23787,21288,13510
A82026,THE JAMES COCHRANE PRACT.,16176,22744,23986,22659,21347,20789,26577,19540,13906
A82027,STATION HOUSE SURGERY,10968,22103,23376,22090,20269,20131,25666,20548,13472
A82028,CASTLEHEAD MEDICAL CENTRE,6475,22445,25924,27150,19106,23043,29268,15875,9591
A82029,THE CROFT SURGERY,3369,16076,22736,19697,17496,21899,30674,4371,4841
A82030,LUNESDALE SURGERY,5977,23313,26897,27682,27174,21582,27372,10687,8445
A82031,SHAP MEDICAL PRACTICE,2843,19458,24097,23856,15389,25025,29496,14932,4473
A82032,MARYPORT HEALTH SERVICES,13662,9937,10921,8278,8325,9889,10021,25332,17045
A82033,WATERLOO HOUSE SURGERY,8408,9760,13485,10619,9811,5126,22403,21293,5603
A82034,STONELEIGH SURGERY,6610,26225,27148,26458,24326,22781,30082,18573,13190
A82035,BIRBECK MEDICAL GROUP,15867,19940,22898,22429,17155,23435,25808,14313,11831
A82036,THE LAKES MEDICAL PRACTICE,9094,19962,22823,22318,17043,23417,25570,14614,12025
A82037,SILLOTH GROUP MEDICAL PRACTICE,4230,12695,13805,11792,11725,13103,22205,16386,8463
A82038,TEMPLE SOWERBY MEDICAL PRACTICE,4475,17958,24922,24954,15285,27532,29728,9521,3986
A82039,DALTON SURGERY,7598,16174,19479,15203,19064,8801,22828,26550,9163
A82040,CATHERINE STREET SURGERY,2684,12038,14764,11085,11161,6955,18200,13336,20740
A82041,LOWTHER MEDICAL CENTRE,10659,12327,15001,11344,11236,7106,18975,12971,21010
A82044,FELLVIEW HEALTHCARE LTD,22152,11917,15340,11363,12244,7303,18029,13414,17564
A82045,WIGTON GROUP MEDICAL PRACTICE,8174,15999,17922,16209,13998,16347,26398,16192,12929
A82046,WINDERMERE HEALTH CENTRE,5728,22993,24346,24345,19685,23817,23993,17801,9850
A82047,JAMES STREET GROUP PRACT,8987,11351,13545,10212,10549,7606,12484,21991,17880
A82048,BEECHWOOD GROUP PRACTICE,6655,12236,14352,10848,11171,8354,13995,22441,17829
A82049,ORCHARD HOUSE SURGERY,5319,11824,13689,10320,10482,7970,14357,22385,18585
A82050,OXFORD STREET SURGERY,7091,12957,15112,11729,11646,9180,16468,20530,18219
A82052,NORTH CARLISLE MEDICAL PRACTICE,7420,23671,23910,20969,20917,16832,27601,19718,23342
A82053,NUTWOOD MEDICAL PRACTICE,4675,22767,24402,22908,22305,19215,29762,20172,11660
A82055,ASPATRIA MEDICAL GROUP,7001,13967,16508,14550,11414,15334,23143,13324,10082
A82057,DERWENT HOUSE SURGERY,6633,21790,23870,21975,24114,20046,28386,15715,15869
A82058,QUEEN STREET MEDICAL PRACTICE,4082,14493,17462,13576,14165,8786,19821,12937,20454
A82060,WHITEHAVEN MEDICAL CENTRE,1803,12418,15168,11589,11781,7487,18964,12917,20215
A82062,ATKINSON HEALTH CENTRE (WIEJAK),4819,9201,11619,8631,11170,3599,16365,28335,9080
A82063,BANK STREET SURGERY,1747,22562,25670,26981,19152,22531,28802,17279,9810
A82064,WESTCROFT HOUSE SURGERY,4624,13165,16258,12041,13378,7867,21185,14996,16347
A82065,PENINSULA MEDICAL PRACTICE,2959,22403,23273,22582,19976,18119,29277,24492,10266
A82068,ULVERSTON HEALTH CENTRE (HAMBLY),3944,18725,19547,16594,22034,14431,27729,22372,11270
A82070,ST.MARY'S SURGERY,5982,22244,24260,24376,20168,24144,27484,14035,8384
A82071,BURNETT EDGAR MEDICAL CTR,4350,11599,13926,10103,13814,4525,23390,27340,10985
A82072,RISEDALE SURGERY,4546,11115,13829,10610,13180,4469,17638,27671,9958
A82074,ARNSIDE SURGERY,2394,28441,28673,25113,29051,22376,31473,19344,17768
A82075,MANSION HOUSE SURGERY,6463,12686,15451,11746,11746,7475,18991,13173,20772
A82077,LIVERPOOL HOUSE SURGERY,5327,11591,14200,10861,13545,4566,18351,28328,10694
A82608,SEDBERGH HEALTH CENTRE (LUMB),4116,19687,28585,26675,21584,24866,30830,12101,2351
A82613,WRAYSDALE HOUSE SURGERY,955,17818,26926,28511,26044,24615,25486,2893,1273
A82617,KIRKOSWALD SURGERY,2301,19905,25653,25613,25145,28013,32044,4784,2344
A82619,NELSON STREET SURGERY,1639,15470,18676,14783,18497,8549,22004,27059,8747
A82620,GLENRIDDING HEALTH CENTRE,732,17976,30999,31255,26238,30991,29093,1471,1123
A82621,ASKAM SURGERY,1598,16327,19830,14119,15321,7874,24600,30577,8668
A82623,SOLWAY HEALTH SERVICES,5453,12166,14424,10908,11181,8321,13962,21916,17589
A82629,THE FAMILY PRACTICE,3788,9056,11464,8674,11028,3694,15562,28141,8663
A82631,COURT THORN SURGERY,2951,19084,26764,24550,21671,23022,29521,6082,4849
A82635,GROSVENOR HOUSE SURGERY (W),1980,13704,16027,13064,10646,9676,16537,21392,17157
A82641,GROSVENOR HOUSE SURGERY (F),1972,14616,16888,13970,11846,10335,17643,20843,17960
A82642,HAWKSHEAD MEDICAL PRACTICE,1195,16372,27231,27226,24633,24383,25525,2384,1909
A82646,LONGTOWN MEDICAL CENTRE,3535,9064,15018,13366,6459,11026,15955,13720,3752
A82647,CARTMEL SURGERY,2376,22523,25176,24331,22100,19232,29308,21609,8247
A82650,HAVERTHWAITE SURGERY,2746,17482,26233,26264,23521,22600,28199,6922,2995
A82651,DUDDON VALLEY MEDICAL PRACTICE,3353,20136,25101,23728,24825,17224,28698,20535,3584
A82654,GROSVENOR HOUSE SURGERY (A),3992,13502,15778,12845,10336,9424,16504,21055,17987
A83001,ST ANDREW'S MEDICAL PRACTICE,10332,12705,11856,8728,14076,7926,18708,20239,30387
A83003,WILLINGTON MEDICAL GROUP,9152,10354,8938,6796,16098,6712,16913,17746,27934
A83004,DR. K R KAPOOR & PARTNER,3682,10322,9818,6579,10905,5800,19114,22295,29535
A83005,WHINFIELD MEDICAL PRACTICE,11446,14764,13404,11897,14650,10052,15320,25660,25471
A83006,ORCHARD COURT SURGERY,7727,14181,13152,11590,15200,9912,12144,27637,22620
A83007,DR. P. BURRELL & PARTNERS,9386,7269,8528,4376,8924,3254,14247,20876,29376
A83008,HALLGARTH SURGERY,5530,4824,4997,3307,8643,3006,4418,24329,22673
A83009,BRIDGE END SURGERY,8798,18491,18128,15011,19173,11027,21754,19365,30346
A83010,MOORLANDS SURGERY,14556,17374,16516,14620,18219,11946,14657,25821,26001
A83011,CLAYPATH & UNIVERSITY MEDICAL GROUP,27599,23553,28457,27902,26793,17032,19754,9680,20491
A83012,WILLIAM BROWN CENTRE,15116,8075,9085,4776,9886,3802,14827,20578,29526
A83013,NEASHAM ROAD SURGERY,11116,10336,9482,8733,9871,7431,10488,27115,22113
A83014,BELMONT & SHERBURN MEDICAL GROUP,7907,18739,17663,13994,19298,10873,21486,22407,31357
A83015,STATION VIEW MEDICAL CENTRE,10386,10145,10139,7522,13896,6318,11647,16512,26437
A83016,TANFIELD VIEW MEDICAL GROUP,11584,9380,7757,6324,10284,6008,15862,22588,28456
A83017,DR NAING & PARTNERS,7483,6374,6731,3594,7463,2803,13236,22405,31642
A83018,CONSETT MEDICAL CENTRE,19397,13720,11924,10064,15122,7913,21276,20725,28391
A83019,STATION ROAD SURGERY,5122,6403,7428,3422,8143,2771,14459,20475,29205
A83020,NORTH HOUSE SURGERY,13499,10990,9539,7832,15077,6946,17483,17193,26366
A83021,AUCKLAND MEDICAL GROUP,13574,9956,9614,7205,12983,5745,12707,19505,27446
A83022,THE MEDICAL GROUP,23804,13052,11880,9065,14663,8224,21750,18259,28976
A83023,STANLEY MEDICAL GROUP,10844,8303,6913,5530,9190,5331,14481,22910,27795
A83024,WEST RAINTON SURGERY,5811,13547,12149,9272,15494,6505,22162,24542,31208
A83025,BISHOPGATE MEDICAL CENTRE,13708,8128,8081,5818,12109,4856,9879,17102,26394
A83026,SACRISTON MEDICAL CENTRE,9734,13302,12212,8994,14992,6555,19344,25012,31495
A83027,COXHOE MEDICAL PRACTICE,6228,17235,16176,14007,17995,8141,20398,22321,31637
A83028,GROUP PRACTICE SURGERY,10082,18273,18180,14688,18581,10956,22928,17909,30179
A83029,THE SURGERY GREAT LUMLEY,4820,18474,16426,14107,19461,9356,22811,24902,31745
A83030,DUNELM MEDICAL PRACTICE,12069,16395,15992,13391,17598,9569,21724,18905,30429
A83031,CARMEL MEDICAL PRACTICE,10051,20508,19747,17413,22263,14683,15168,25755,25953
A83032,COCKFIELD SURGERY,2451,12158,13061,10494,13982,10941,20009,18677,13189
A83033,DR TYSON AND PARTNERS,8727,13451,13043,10505,13269,8404,16096,23050,29763
A83034,BLACKETTS MEDICAL PRACTICE,10069,15946,15207,13244,18447,11397,11698,26975,22198
A83035,THE WEARDALE PRACTICE,7119,16580,16875,14730,19831,16268,27023,12952,12158
A83036,CHASTLETON MEDICAL GROUP,11650,25104,25423,21477,26469,15272,27024,20605,30425
A83037,BEWICK CRESCENT SURGERY,13831,14193,14106,11087,14960,7886,20317,18878,30928
A83038,CEDARS MEDICAL GROUP,5829,17893,14886,13708,18382,11345,23534,22509,30510
A83040,CLIFTON COURT MEDICAL PRACTICE,11868,10937,10145,9073,11200,7931,10744,26774,21789
A83041,DR D S RANGAR & PARTNERS,7674,11282,10442,6872,9436,6486,23846,24215,32294
A83042,DR SIMPSON & PARTNERS,4979,8733,9934,5384,10306,4200,14544,22768,29583
A83043,OLD FORGE SURGERY,2695,15530,21792,20413,21384,13208,28067,3530,4561
A83044,THE HORDEN GROUP PRACTICE,6966,6293,7297,3576,8012,2758,12368,21060,29735
A83045,DR.OAKENFULL & PARTNERS,15023,8479,7784,5290,9485,5691,12534,20996,28775
A83046,BARNARD CASTLE SURGERY,10381,19424,20102,19268,21256,14722,27732,14704,21025
A83047,DENMARK STREET SURGERY,14015,13950,12917,11447,14454,9888,12498,27048,22676
A83048,ROCKLIFFE COURT SURGERY,5518,22030,22327,19324,25302,19388,15791,16448,25189
A83049,QUEENS ROAD SURGERY,12732,15503,13694,11439,17651,9637,23184,19664,28252
A83050,CESTRIA HEALTH CENTRE,11718,19743,19355,16451,20893,11727,23145,18098,31106
A83051,MARLBOROUGH SURGERY,10208,11902,11579,7930,12361,6289,20117,23243,29537
A83052,DR.WOOD & PARTNERS,8902,12043,11170,8191,13297,7241,18337,21433,30465
A83054,DR.JONES & PARTNERS,15506,17249,17084,13904,19783,10314,20718,22673,31210
A83055,CHEVELEY PARK MEDICAL CTR,3868,23874,22530,18486,25120,13612,24920,25322,30778
A83057,SHINWELL MEDICAL GROUP,5553,5144,6017,2877,6515,2264,10916,22007,29020
A83060,PINFOLD MEDICAL PRACTICE,3047,15186,15534,13284,16604,13952,23496,16787,11697
A83061,GAINFORD SURGERY,3300,21609,25374,23594,25648,23019,26664,4768,12199
A83066,JUBILEE MEDICAL GROUP,8654,12130,11777,9390,14116,7095,15932,18249,27976
A83068,JUPITER HOUSE,1650,5897,7048,3270,7433,2441,11925,21961,29633
A83070,FELIX HOUSE SURGERY,5586,22645,22473,19322,24748,15219,20788,17695,29175
A83071,THE NEW SEAHAM MEDICAL GROUP,5120,12527,12140,8334,12961,6764,20591,22957,29544
A83072,LANCHESTER MEDICAL CENTRE,3879,21942,19333,18298,24520,12539,26826,23115,27233
A83073,DRS LAMBERT & NG,4971,8411,6893,5527,9419,5271,14450,24177,27999
A83074,PEASEWAY MEDICAL CENTRE,11322,11620,11134,8505,12201,6260,19003,18894,31635
A83075,DR KV REDDY,4697,12075,11731,8020,12563,6546,20334,22684,29660
A83076,DIPTON SURGERY,2688,12242,9766,8542,13173,7244,19464,23630,29677
A83603,DR.ROY,2766,12023,11115,8266,13405,7404,17499,20919,30156
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,2771,8689,9842,5449,10228,4329,12985,24400,29018
A83616,DR MUDALAGIRI,2304,5790,6807,3018,7108,2425,13319,22744,29330
A83617,BROWNEY HOUSE SURGERY,2719,16063,14244,11974,16773,9192,22115,23953,27655
A83618,OAKFIELDS HEALTH CENTRE,4037,15133,13544,11767,18024,10157,22793,14647,28479
A83619,DR. S H S MANSOUR,2761,5905,6828,3176,7418,2543,13935,20908,29308
A83622,THE HAVEN SURGERY,1693,11203,9392,8123,10737,4802,20671,28361,29564
A83626,EVENWOOD MEDICAL PRACTICE,1993,9500,10170,8019,9211,6263,17453,20498,20335
A83627,SILVERDALE FAMILY PRACTICE,4573,8199,8336,4776,8628,3788,14644,26022,31104
A83630,DENHOLM HOUSE,2384,11907,10783,7886,12204,6936,20229,21601,31966
A83632,CRAGHEAD MEDICAL CENTRE,2592,7081,5860,4464,7198,4975,13995,23112,27470
A83634,WEST CORNFORTH MEDICAL CENTRE,2646,5122,4667,2857,7354,2160,9462,23941,31600
A83635,BOWBURN MEDICAL CENTRE,3727,15127,13585,12447,16759,6272,20722,24642,32051
A83636,LEADGATE SURGERY,5712,12146,10608,8285,13529,6609,20876,23171,28984
A83637,PELTON FELL SURGERY,2001,11722,11260,9122,11627,7483,14875,21063,29921
A83638,DR.BALIGA,1437,5283,5421,3627,8905,3223,5796,23244,23586
A83641,PARKGATE SURGERY,4730,8874,8044,7190,9096,6467,10075,26625,20875
A83644,ANNFIELD PLAIN SURGERY,3353,8253,6819,5323,9564,5064,13247,25205,27524
A84002,THE ROTHBURY PRACTICE,5272,20167,24235,23086,26252,24297,31592,7351,9691
A84003,LINTONVILLE MEDICAL GROUP,13232,10267,10495,7505,10081,6980,15641,19631,27661
A84005,BEDLINGTONSHIRE MED.GROUP,10969,16517,14771,12854,13893,11989,23129,21739,31251
A84006,THE BONDGATE SURGERY,8809,19305,20447,19391,18533,18525,27915,12066,18450
A84007,PONTELAND MEDICAL GROUP,10783,25975,26890,24138,26012,22287,31126,10649,28976
A84008,BELFORD MEDICAL PRACTICE,4501,13585,18507,17644,13927,20204,30075,3774,4103
A84009,WATERLOO MEDICAL GROUP,13968,10937,11176,8544,9917,8908,18484,15571,29604
A84011,WHITE MEDICAL GROUP,7127,24845,26727,24445,25602,22743,30180,12239,24875
A84013,THE GABLES MEDICAL GROUP,6266,10773,10028,7310,8967,7591,20242,22052,28688
A84014,MARINE MEDICAL GROUP,10476,12048,12358,9481,11117,9585,19679,15852,29756
A84015,LABURNUM SURGERY,2285,7276,7476,5076,7285,5146,12153,21273,26024
A84016,PRUDHOE MEDICAL GROUP,6635,21086,17995,16437,19198,15779,26770,19981,31161
A84018,CORBRIDGE HEALTH CENTRE,6827,24218,26780,23715,26091,22665,31332,11028,19852
A84020,GUIDEPOST MEDICAL GROUP,8501,13996,13031,10089,10808,9515,21737,24550,30113
A84021,INFIRMARY DRIVE MEDICAL GROUP,9568,19551,19239,17602,18670,18151,26471,14376,22721
A84022,COQUET MEDICAL GROUP,11244,13584,12946,9797,11369,12102,27556,15186,29176
A84024,BURN BRAE MEDICAL GROUP,8931,21842,21544,19643,22764,19122,27665,13813,24500
A84025,CRAMLINGTON MEDICAL GROUP,5527,14186,14371,11705,12378,10298,23919,10639,30303
A84026,WELL CLOSE MEDICAL GROUP,9325,15419,14963,12997,12427,18230,25973,15285,18987
A84027,BELLINGHAM PRACTICE,3256,16191,23328,21606,16114,23508,31487,1651,5383
A84028,SEATON PARK MEDICAL GROUP,19016,11255,11357,8210,10613,7860,17055,18886,28582
A84029,WIDDRINGTON SURGERY,2819,16098,15101,11331,14273,10660,29664,20508,29939
A84030,VILLAGE MEDICAL GROUP,9195,16768,17203,14063,14742,12098,25193,10740,30091
A84031,GREYSTOKE SURGERY,9068,22198,23518,18892,24807,16986,27041,15086,26668
A84032,CHEVIOT MEDICAL GROUP,2435,16196,18840,17800,16667,24576,31270,12527,10211
A84033,THE SELE MEDICAL PRACTICE,6070,21805,21525,19732,22713,19328,27860,13665,23484
A84034,HALTWHISTLE MEDICAL GROUP,5700,15619,17360,15567,10112,16746,30911,19641,15173
A84035,RIVERSDALE SURGERY,5869,22907,20977,18749,22566,18408,25673,21136,29141
A84036,WELLWAY MEDICAL GROUP,17548,15337,16081,12023,16350,11176,23028,14286,28795
A84037,NETHERFIELD HOUSE,5646,15505,13585,10089,14358,11439,22726,22935,30239
A84038,FORUM FAMILY PRACTICE,5908,17343,17789,14699,15211,12380,25426,11005,30624
A84039,GAS HOUSE LANE SURGERY,5127,21855,23719,18937,25018,17193,26794,13571,25676
A84040,HUMSHAUGH & WARK MED GRP,3653,18199,22490,23720,22698,21837,31642,5085,6798
A84042,SCOTS GAP MEDICAL GROUP,1880,17657,25819,24798,22044,23941,31879,2174,6822
A84043,BROCKWELL MEDICAL GROUP,17039,19762,19443,16416,18473,14503,26301,14343,30583
A84044,UNION BRAE & NORHAM PRAC,6837,15094,15664,13150,12943,19291,27119,13799,17478
A84045,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,5497,17154,20269,20316,20263,20042,32033,7615,6172
A84047,BRANCH END SURGERY,5461,25846,25102,23745,27157,21200,30123,17452,24808
A84048,STATION MEDICAL GROUP,8794,11468,11736,8898,10366,9173,19050,16066,29731
A84604,THE GLENDALE SURGERY,1945,16707,18824,18111,16237,24258,31191,13913,11441
A84609,MIDDLE FARM SURGERY,1623,24154,25372,22167,26775,22660,31698,6473,22230
