PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Total annual income (£),Practice_code_weighted_tot_of_Net annual income (£),Practice_code_weighted_tot_of_Net annual income before housing costs (£),Practice_code_weighted_tot_of_Net annual income after housing costs (£)
A81058,COULBY MEDICAL PRACTICE,7505,35277,29988,28237,24965
A81060,THE KOH PRACTICE,5329,32025,27006,25728,22443
A81063,THE HEADLAND MEDICAL CENTRE,5317,30512,26399,24960,21047
A81064,THE DISCOVERY PRACTICE,6260,30841,27281,24963,21044
A81065,THE ESTON SURGERY,3360,28650,26363,25026,20499
A81066,PARK LANE SURGERY,4194,46607,35568,32061,30283
A81067,ALMA MEDICAL CENTRE,10554,31632,26761,24979,20953
A81069,RAINBOW SURGERY,1584,31895,26061,26484,23693
A81070,WYNYARD ROAD PRIMARY CARE CENTRE,1992,28581,24831,24022,20126
A81602,DR RASOOL,2520,37031,30037,28318,26400
A81605,PARK AVENUE SURGERY,2437,34528,27805,27250,25140
A81608,ELM TREE SURGERY,2618,32220,26879,25543,21391
A81609,A & B MEDICAL PRACTICE,1452,31852,26978,24927,21101
A81610,THE ROSEBERRY PRACTICE,8328,36598,29793,28052,26106
A81611,PARKWAY MEDICAL CENTRE,5056,35978,30529,28943,25681
A81612,THE PATEL PRACTICE,2960,34525,28704,27042,24352
A81613,JOURNEE MEDICAL PRACTICE,3369,31019,26391,25184,21585
A81618,HUNTCLIFF SURGERY,7582,34858,28272,28478,26792
A81621,THORNTREE SURGERY,2279,25511,24599,23565,18137
A81622,GLADSTONE HOUSE SURGERY,5162,31005,26468,25159,21501
A81623,NORTH SHORE MEDICAL PRACTICE,1633,32980,27639,25588,22146
A81629,RIVERSIDE MEDICAL PRACTICE,3889,34039,28112,26023,22769
A81630,FULCRUM MEDICAL PRACTICE,737,27722,25468,23260,18389
A81631,WEST VIEW MILLENIUM SURGERY A,6382,32086,27295,25757,21958
A81632,LAWSON STREET PRACTICE,693,31733,26973,25003,20929
A81633,HAVEN MEDICAL PRACTICE,670,25477,24300,22125,16670
A81634,THE ARRIVAL PRACTICE,1496,29646,25786,23915,18673
A82003,ULVERSTON HEALTH CENTRE (MURRAY),10628,40976,32400,29945,28945
A82004,ALSTON MEDICAL PRACTICE,2328,40287,30353,28338,27529
A82005,AMBLESIDE HEALTH CENTRE,5119,35540,28957,28875,26094
A82006,APPLEBY MEDICAL PRACTICE,4843,38934,30904,27806,26801
A82007,DUKE STREET SURGERY,9396,35555,28397,26729,24084
A82008,NORWOOD MEDICAL CENTRE,11041,36392,28902,27251,24787
A82009,BRIDGEGATE MEDICAL CENTRE,8776,35790,28558,26818,24295
A82010,ABBEY ROAD SURGERY,6505,37779,29708,27968,25805
A82011,HARTINGTON STREET MEDICAL PRACTICE,2589,34277,27623,26199,23330
A82012,BRAMPTON MEDICAL PRACTICE,15206,40003,31493,29945,28769
A82013,UPPER EDEN MEDICAL PRACTICE,6689,39438,32147,27805,26355
A82014,CALDBECK SURGERY,4302,40791,31956,29017,28930
A82015,WARWICK ROAD SURGERY,5897,33927,26551,26779,23920
A82016,ST PAUL'S MEDICAL PRACTICE,14364,35638,27515,27419,24953
A82017,BRUNSWICK HOUSE MEDICAL GROUP,14622,33721,26277,26585,23489
A82018,SPENCER ST SURGERY,11741,35210,27301,27314,24817
A82019,FUSEHILL MEDICAL PRACTICE,8333,35055,27236,27433,24715
A82020,EDEN MEDICAL GROUP,14675,35097,27202,27112,24714
A82021,CASTLEGATE SURGERY,10467,44991,34054,32939,31969
A82022,DALSTON MEDICAL GROUP,5033,40242,30112,28934,27850
A82023,DISTINGTON SURGERY,3808,38248,27837,28491,26346
A82024,SEASCALE HEALTH CENTRE,5627,45233,32982,31460,31499
A82025,CAPTAIN FRENCH SURGERY,9320,41281,32082,29740,28634
A82026,THE JAMES COCHRANE PRACT.,16176,42116,33157,30024,29197
A82027,STATION HOUSE SURGERY,10968,41792,32810,29909,29004
A82028,CASTLEHEAD MEDICAL CENTRE,6475,38469,33314,29881,29223
A82029,THE CROFT SURGERY,3369,39795,30496,28194,28081
A82030,LUNESDALE SURGERY,5977,42333,35121,29750,28504
A82031,SHAP MEDICAL PRACTICE,2843,39159,31349,28076,26983
A82032,MARYPORT HEALTH SERVICES,13662,32934,26415,26616,23639
A82033,WATERLOO HOUSE SURGERY,8408,36008,26910,26805,26404
A82034,STONELEIGH SURGERY,6610,44518,35742,31067,30340
A82035,BIRBECK MEDICAL GROUP,15867,38066,30854,28552,27676
A82036,THE LAKES MEDICAL PRACTICE,9094,38003,30847,28541,27632
A82037,SILLOTH GROUP MEDICAL PRACTICE,4230,34731,26833,26230,24522
A82038,TEMPLE SOWERBY MEDICAL PRACTICE,4475,39068,30616,28054,27189
A82039,DALTON SURGERY,7598,38864,30080,28140,25709
A82040,CATHERINE STREET SURGERY,2684,37055,27698,28774,26415
A82041,LOWTHER MEDICAL CENTRE,10659,37100,27659,28722,26327
A82044,FELLVIEW HEALTHCARE LTD,22152,39093,28318,29149,27068
A82045,WIGTON GROUP MEDICAL PRACTICE,8174,35867,27736,26667,25511
A82046,WINDERMERE HEALTH CENTRE,5728,37465,31580,29096,26958
A82047,JAMES STREET GROUP PRACT,8987,33897,26710,27107,24559
A82048,BEECHWOOD GROUP PRACTICE,6655,34027,26825,27161,24646
A82049,ORCHARD HOUSE SURGERY,5319,33874,26761,27062,24554
A82050,OXFORD STREET SURGERY,7091,35152,27244,27605,25288
A82052,NORTH CARLISLE MEDICAL PRACTICE,7420,39966,30158,29914,28436
A82053,NUTWOOD MEDICAL PRACTICE,4675,39536,32187,29452,28768
A82055,ASPATRIA MEDICAL GROUP,7001,37465,28494,27196,24768
A82057,DERWENT HOUSE SURGERY,6633,44836,33966,32928,31876
A82058,QUEEN STREET MEDICAL PRACTICE,4082,38607,28519,29376,27342
A82060,WHITEHAVEN MEDICAL CENTRE,1803,37525,27988,28904,26654
A82062,ATKINSON HEALTH CENTRE (WIEJAK),4819,34917,28067,26436,23660
A82063,BANK STREET SURGERY,1747,38506,33318,29927,29298
A82064,WESTCROFT HOUSE SURGERY,4624,39989,29251,29424,27845
A82065,PENINSULA MEDICAL PRACTICE,2959,39173,31866,29393,28866
A82068,ULVERSTON HEALTH CENTRE (HAMBLY),3944,40840,32339,29904,28872
A82070,ST.MARY'S SURGERY,5982,37654,31555,29137,27055
A82071,BURNETT EDGAR MEDICAL CTR,4350,35250,28441,26666,23655
A82072,RISEDALE SURGERY,4546,36203,28819,27000,24539
A82074,ARNSIDE SURGERY,2394,41677,32302,30043,28950
A82075,MANSION HOUSE SURGERY,6463,37296,27780,28822,26488
A82077,LIVERPOOL HOUSE SURGERY,5327,36487,28992,27185,24830
A82608,SEDBERGH HEALTH CENTRE (LUMB),4116,37905,28124,27388,26070
A82613,WRAYSDALE HOUSE SURGERY,955,43392,36143,31596,29494
A82617,KIRKOSWALD SURGERY,2301,41007,32476,29573,28976
A82619,NELSON STREET SURGERY,1639,38788,30104,28157,25774
A82620,GLENRIDDING HEALTH CENTRE,732,40891,34264,30139,28494
A82621,ASKAM SURGERY,1598,38776,29962,27508,24083
A82623,SOLWAY HEALTH SERVICES,5453,34281,26841,27236,24749
A82629,THE FAMILY PRACTICE,3788,34649,27866,26350,23570
A82631,COURT THORN SURGERY,2951,41357,34145,30654,30136
A82635,GROSVENOR HOUSE SURGERY (W),1980,35060,27301,27292,24804
A82641,GROSVENOR HOUSE SURGERY (F),1972,35789,27791,27601,25291
A82642,HAWKSHEAD MEDICAL PRACTICE,1195,42099,34432,30054,28127
A82646,LONGTOWN MEDICAL CENTRE,3535,35535,27178,27652,25515
A82647,CARTMEL SURGERY,2376,39545,32197,29476,28800
A82650,HAVERTHWAITE SURGERY,2746,42573,34821,30560,28791
A82651,DUDDON VALLEY MEDICAL PRACTICE,3353,42249,34416,30566,28529
A82654,GROSVENOR HOUSE SURGERY (A),3992,35003,27195,27149,24703
A83001,ST ANDREW'S MEDICAL PRACTICE,10332,33679,27979,26775,23673
A83003,WILLINGTON MEDICAL GROUP,9152,32586,27791,25525,22631
A83004,DR. K R KAPOOR & PARTNER,3682,32648,28195,27534,25678
A83005,WHINFIELD MEDICAL PRACTICE,11446,35858,29575,26536,23914
A83006,ORCHARD COURT SURGERY,7727,35639,29590,26477,23472
A83007,DR. P. BURRELL & PARTNERS,9386,30117,26775,25873,23746
A83008,HALLGARTH SURGERY,5530,28618,25230,24251,20466
A83009,BRIDGE END SURGERY,8798,37825,31367,29078,28447
A83010,MOORLANDS SURGERY,14556,38042,31272,27547,25003
A83011,CLAYPATH & UNIVERSITY MEDICAL GROUP,27599,35665,35634,29002,24064
A83012,WILLIAM BROWN CENTRE,15116,31121,27525,25914,23546
A83013,NEASHAM ROAD SURGERY,11116,33425,27800,25234,21543
A83014,BELMONT & SHERBURN MEDICAL GROUP,7907,38576,31331,29674,28098
A83015,STATION VIEW MEDICAL CENTRE,10386,33803,28078,25947,23194
A83016,TANFIELD VIEW MEDICAL GROUP,11584,32095,27358,26238,22688
A83017,DR NAING & PARTNERS,7483,31267,27666,27371,24455
A83018,CONSETT MEDICAL CENTRE,19397,34611,28512,27017,24222
A83019,STATION ROAD SURGERY,5122,30930,27635,26594,23303
A83020,NORTH HOUSE SURGERY,13499,32510,27869,26361,23402
A83021,AUCKLAND MEDICAL GROUP,13574,34071,28571,26192,23217
A83022,THE MEDICAL GROUP,23804,36447,30093,28923,26225
A83023,STANLEY MEDICAL GROUP,10844,31624,27077,25902,22256
A83024,WEST RAINTON SURGERY,5811,35522,29896,28590,26644
A83025,BISHOPGATE MEDICAL CENTRE,13708,32881,27560,25608,22691
A83026,SACRISTON MEDICAL CENTRE,9734,35968,30859,29023,26257
A83027,COXHOE MEDICAL PRACTICE,6228,37200,31596,30900,27505
A83028,GROUP PRACTICE SURGERY,10082,38984,32441,29873,28973
A83029,THE SURGERY GREAT LUMLEY,4820,38123,30207,29066,26939
A83030,DUNELM MEDICAL PRACTICE,12069,38981,31259,29709,27336
A83031,CARMEL MEDICAL PRACTICE,10051,40655,32990,29236,27173
A83032,COCKFIELD SURGERY,2451,35576,29156,27179,23753
A83033,DR TYSON AND PARTNERS,8727,35860,30677,27770,25953
A83034,BLACKETTS MEDICAL PRACTICE,10069,37712,30983,27931,24902
A83035,THE WEARDALE PRACTICE,7119,35825,30035,28630,26195
A83036,CHASTLETON MEDICAL GROUP,11650,46606,34423,32244,30977
A83037,BEWICK CRESCENT SURGERY,13831,36246,31444,27665,26839
A83038,CEDARS MEDICAL GROUP,5829,37126,30512,29087,26232
A83040,CLIFTON COURT MEDICAL PRACTICE,11868,34362,28508,25712,22150
A83041,DR D S RANGAR & PARTNERS,7674,32613,28478,27489,25276
A83042,DR SIMPSON & PARTNERS,4979,32961,28468,26887,24270
A83043,OLD FORGE SURGERY,2695,37829,32399,27754,26265
A83044,THE HORDEN GROUP PRACTICE,6966,29270,26119,25462,23206
A83045,DR.OAKENFULL & PARTNERS,15023,30745,26763,26140,22932
A83046,BARNARD CASTLE SURGERY,10381,35699,28307,27289,24677
A83047,DENMARK STREET SURGERY,14015,35689,29607,26513,23427
A83048,ROCKLIFFE COURT SURGERY,5518,43439,34770,31830,29677
A83049,QUEENS ROAD SURGERY,12732,36041,29577,27631,24961
A83050,CESTRIA HEALTH CENTRE,11718,38138,32107,29561,29092
A83051,MARLBOROUGH SURGERY,10208,33226,28642,27749,25787
A83052,DR.WOOD & PARTNERS,8902,33789,28012,26829,23754
A83054,DR.JONES & PARTNERS,15506,37581,32045,29919,28059
A83055,CHEVELEY PARK MEDICAL CTR,3868,41630,32431,30451,30098
A83057,SHINWELL MEDICAL GROUP,5553,28494,25459,25064,22730
A83060,PINFOLD MEDICAL PRACTICE,3047,35571,29134,27157,23784
A83061,GAINFORD SURGERY,3300,38451,31718,28401,25252
A83066,JUBILEE MEDICAL GROUP,8654,35031,30021,26772,25044
A83068,JUPITER HOUSE,1650,28319,25365,24989,22695
A83070,FELIX HOUSE SURGERY,5586,44420,35221,31870,30046
A83071,THE NEW SEAHAM MEDICAL GROUP,5120,33504,28812,27877,25950
A83072,LANCHESTER MEDICAL CENTRE,3879,40295,33543,30139,29199
A83073,DRS LAMBERT & NG,4971,31218,26962,25896,22419
A83074,PEASEWAY MEDICAL CENTRE,11322,34312,30133,26841,25952
A83075,DR KV REDDY,4697,33132,28511,27716,25805
A83076,DIPTON SURGERY,2688,33184,28204,27141,24057
A83603,DR.ROY,2766,33667,28053,26841,23727
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,2771,33648,28934,27326,24439
A83616,DR MUDALAGIRI,2304,30828,27529,26231,23043
A83617,BROWNEY HOUSE SURGERY,2719,37262,30880,28218,25934
A83618,OAKFIELDS HEALTH CENTRE,4037,38228,30682,28556,26470
A83619,DR. S H S MANSOUR,2761,30655,27433,26425,23221
A83622,THE HAVEN SURGERY,1693,40282,33643,30207,29314
A83626,EVENWOOD MEDICAL PRACTICE,1993,35427,29153,27102,23679
A83627,SILVERDALE FAMILY PRACTICE,4573,33324,29222,27690,25131
A83630,DENHOLM HOUSE,2384,36554,29505,29348,26364
A83632,CRAGHEAD MEDICAL CENTRE,2592,30519,26607,25143,21412
A83634,WEST CORNFORTH MEDICAL CENTRE,2646,29074,25914,27289,25373
A83635,BOWBURN MEDICAL CENTRE,3727,38908,32841,31754,29514
A83636,LEADGATE SURGERY,5712,34418,28137,27065,24393
A83637,PELTON FELL SURGERY,2001,34810,29817,27617,25768
A83638,DR.BALIGA,1437,29219,25683,24439,20828
A83641,PARKGATE SURGERY,4730,33367,27824,25273,21484
A83644,ANNFIELD PLAIN SURGERY,3353,30885,26832,25857,22455
A84002,THE ROTHBURY PRACTICE,5272,41560,34199,30314,28334
A84003,LINTONVILLE MEDICAL GROUP,13232,33695,29278,26475,25159
A84005,BEDLINGTONSHIRE MED.GROUP,10969,36406,29656,28092,26345
A84006,THE BONDGATE SURGERY,8809,37569,29905,28287,26564
A84007,PONTELAND MEDICAL GROUP,10783,46172,36032,32274,30599
A84008,BELFORD MEDICAL PRACTICE,4501,35260,27921,26258,24771
A84009,WATERLOO MEDICAL GROUP,13968,33572,27792,25958,23288
A84011,WHITE MEDICAL GROUP,7127,46477,36033,32557,30746
A84013,THE GABLES MEDICAL GROUP,6266,33455,27901,26795,24315
A84014,MARINE MEDICAL GROUP,10476,33729,27804,26087,23483
A84015,LABURNUM SURGERY,2285,32624,28721,26137,24728
A84016,PRUDHOE MEDICAL GROUP,6635,38803,32400,29461,27206
A84018,CORBRIDGE HEALTH CENTRE,6827,44821,35882,33198,32408
A84020,GUIDEPOST MEDICAL GROUP,8501,36284,29523,27295,26072
A84021,INFIRMARY DRIVE MEDICAL GROUP,9568,37498,30146,28663,26800
A84022,COQUET MEDICAL GROUP,11244,37333,29539,28531,27087
A84024,BURN BRAE MEDICAL GROUP,8931,40521,32967,30934,29331
A84025,CRAMLINGTON MEDICAL GROUP,5527,36291,28392,27024,25155
A84026,WELL CLOSE MEDICAL GROUP,9325,32614,26862,26318,24425
A84027,BELLINGHAM PRACTICE,3256,39922,33508,29118,27806
A84028,SEATON PARK MEDICAL GROUP,19016,33914,29368,26421,25239
A84029,WIDDRINGTON SURGERY,2819,36238,28234,26696,24906
A84030,VILLAGE MEDICAL GROUP,9195,37150,28621,27212,25371
A84031,GREYSTOKE SURGERY,9068,44710,35948,31674,30850
A84032,CHEVIOT MEDICAL GROUP,2435,35314,27943,26303,24715
A84033,THE SELE MEDICAL PRACTICE,6070,40466,32937,30890,29282
A84034,HALTWHISTLE MEDICAL GROUP,5700,34662,28227,26072,25148
A84035,RIVERSDALE SURGERY,5869,41381,32982,30978,28324
A84036,WELLWAY MEDICAL GROUP,17548,38598,31059,28599,26959
A84037,NETHERFIELD HOUSE,5646,36686,29032,27285,24648
A84038,FORUM FAMILY PRACTICE,5908,37427,28666,27250,25248
A84039,GAS HOUSE LANE SURGERY,5127,44848,36031,31675,30809
A84040,HUMSHAUGH & WARK MED GRP,3653,40367,33442,30053,28630
A84042,SCOTS GAP MEDICAL GROUP,1880,45489,36307,31769,30096
A84043,BROCKWELL MEDICAL GROUP,17039,40079,29970,28146,25105
A84044,UNION BRAE & NORHAM PRAC,6837,33054,27206,26410,24664
A84045,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,5497,39709,32569,30140,28669
A84047,BRANCH END SURGERY,5461,43725,35014,32629,31271
A84048,STATION MEDICAL GROUP,8794,33287,27618,25906,23250
A84604,THE GLENDALE SURGERY,1945,35488,28114,26420,24806
A84609,MIDDLE FARM SURGERY,1623,40061,31818,30013,28535
A84613,HARBOTTLE SURGERY,823,41029,33968,29984,28126
A84614,THE ADDERLANE SURGERY,1966,38646,32320,29384,27133
A84619,ELSDON AVENUE SURGERY,3671,37120,29322,27536,24938
A85001,FELL TOWER MEDICAL CENTRE,7322,36394,29587,28954,26063
A85002,BENSHAM FAMILY PRACTICE,4543,33972,28330,26745,23259
A85003,ROWLANDS GILL MEDICAL CENTRE,6825,38973,32113,28721,27753
A85004,LONGRIGG MEDICAL CENTRE,10839,32496,27705,26664,23625
A85005,OXFORD TCE & RAWLING RD MEDICAL GROUP,15164,33595,27759,26690,22771
A85006,GLENPARK MEDICAL CENTRE,9232,34803,29613,27365,23667
A85007,FELL COTTAGE SURGERY,8404,36744,29561,29004,25830
A85008,BIRTLEY MEDICAL GROUP,15901,34547,28323,26969,24127
A85009,CROWHALL MEDICAL CENTRE,6679,31388,26718,26259,23161
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,11251,35286,29228,28362,25836
A85011,ST. ALBANS MEDICAL GROUP,8256,31399,26711,26518,23069
A85012,METRO INTERCHANGE SURGERY,3980,31852,26814,26340,22063
A85013,MILLENNIUM FAMILY PRACTICE,3373,33221,27707,27039,22628
A85014,CRAWCROOK MEDICAL CENTRE,7438,37911,30763,29693,26722
A85016,WREKENTON MEDICAL GROUP,10265,31678,27352,26412,22929
A85017,BEWICK ROAD SURGERY,6027,32857,26990,26126,22011
A85018,OLDWELL SURGERY,5246,34535,28928,27963,25436
A85019,CENTRAL GATESHEAD MEDICAL GROUP,10257,32971,27441,26750,22495
A85020,WHICKHAM COTTAGE MEDICAL CENTRE,16359,38953,31126,29262,27710
A85021,SECOND STREET SURGERY,2729,32516,26917,25739,22015
A85023,TEAMS MEDICAL PRACTICE,5138,32722,28088,26312,22034
A85024,CHOPWELL PRIMARY HEALTHCARE CENTRE,2686,35937,29107,27218,24966
A85026,BEACON VIEW MEDICAL CENTRE,4547,33310,27883,27238,23750
A85605,ELVASTON ROAD SURGERY,2291,37975,30418,29540,26822
A85609,108 RAWLING ROAD(RAWLING ROAD PRACTICE),1653,35162,28943,27585,24379
A85611,PELAW MEDICAL PRACTICE,5313,32435,27016,26491,23554
A85614,THE BRIDGES MEDICAL PRACTICE,4559,33449,27877,27209,22439
A85616,HOLLYHURST MEDICAL CENTRE,2485,35614,29538,28350,25892
A85617,SUNNISIDE SURGERY,3253,37288,30598,28497,26286
A85620,GRANGE ROAD MEDICAL PRACTICE,3607,38168,30555,29658,26900
A86003,SAVILLE MEDICAL GROUP,30615,33373,26737,27301,22624
A86004,PROSPECT MEDICAL CENTRE,15488,29937,24087,23799,19569
A86005,WEST FARM SURGERY,5756,37122,30628,29034,27227
A86006,ROSEWORTH SURGERY,5090,44321,34238,31867,29159
A86007,AVENUE MEDICAL PRACTICE,3038,42403,36140,32768,29848
A86008,PARK MEDICAL GROUP,11866,36890,29077,28235,25072
A86009,FALCON MEDICAL GROUP,6237,31664,26145,25595,21268
A86010,BIDDLESTONE HEALTH GROUP,9599,39395,30741,29610,26341
A86011,WALKER MEDICAL GROUP,11304,29118,25124,23993,20036
A86012,WEST ROAD MEDICAL CENTRE,9140,30089,24887,23659,19888
A86013,DENTON PARK MEDICAL GROUP,7156,32679,26974,26234,23530
A86015,HOLLY MEDICAL GROUP,8902,44118,38394,33286,30876
A86016,LANE END SURGERY,8557,42590,33042,30986,28916
A86017,CRUDDAS PARK SURGERY,9704,31186,25575,24839,20974
A86018,THE GROVE MEDICAL GROUP,12657,47092,36233,33286,30379
A86020,THE SURGERY-OSBORNE ROAD,5065,45771,40315,33528,31570
A86021,HOLMSIDE MEDICAL GROUP,9170,31725,26342,25234,22174
A86022,PARKWAY MEDICAL GROUP,7992,34304,28146,27162,24902
A86023,BENFIELD PARK MEDICAL GROUP,8498,34468,27933,27080,23287
A86024,HEATON ROAD SURGERY,7255,33767,27307,26877,22603
A86025,WESTERHOPE MEDICAL GROUP,12385,32559,26933,26025,23220
A86026,THROCKLEY PRIMARY CARE CENTRE,6550,35174,29072,27766,25393
A86027,NEWCASTLE MEDICAL CENTRE,13483,32713,26015,27058,21654
A86028,REGENT MEDICAL CENTRE,3770,42483,32875,30891,28080
A86029,THORNFIELD MEDICAL GROUP,11765,33013,26300,26739,22177
A86030,BETTS AVENUE MEDICAL GROUP,10251,32661,26863,25513,22342
A86031,FENHAM HALL SURGERY,8236,31981,26201,24401,20976
A86033,BRUNTON PARK,4468,47935,37314,32987,31063
A86035,BROADWAY MEDICAL CENTRE,2639,45117,34876,31587,29407
A86036,GOSFORTH MEMORIAL MED.CTR,8613,47845,36548,33635,30594
A86037,GRAINGER MEDICAL GROUP,6547,28887,24224,23060,18886
A86038,NEWBURN SURGERY,5372,33642,28101,26865,24297
A86040,ST.ANTHONY'S HEALTH CENTRE,6106,27003,23463,23039,18224
A86041,SWARLAND AVENUE SURGERY,4962,42640,33130,30979,29061
A86601,DENTON TURRET MEDICAL CENTRE,8239,31811,26916,25194,22310
A87002,SPRING TERRACE HEALTH CENTRE,6978,34826,28961,27315,24162
A87003,PORTUGAL PLACE HEALTH CTR,11794,33277,28310,26420,23508
A87004,COLLINGWOOD SURGERY,16959,35006,29035,27447,24395
A87005,WHITLEY BAY HEALTH CENTRE,12623,42726,33155,30942,29284
A87006,49 MARINE AVENUE SURGERY,6031,44291,33969,31100,29762
A87007,FOREST HALL HEALTH CENTRE,11033,37789,29924,29227,26958
A87008,MARINE AVENUE MEDICAL CTR,7311,44117,33835,30927,29578
A87009,PRIORY MEDICAL GROUP,14411,37164,30438,29229,26087
A87011,BEAUMONT PARK SURGERY,6596,44571,33988,30851,29805
A87012,WIDEOPEN MEDICAL CENTRE,7140,36757,28928,27650,26335
A87013,BEWICKE MEDICAL CENTRE,10119,31484,26615,25452,21898
A87014,EARSDON PARK MEDICAL PRACTICE,4291,38017,31063,28684,26234
A87015,APPLEBY SURGERY,5975,35544,29301,27761,24702
A87016,THE VILLAGE GREEN SURGERY,9611,33378,28210,26375,23259
A87017,WOODLANDS PARK HEALTH CTR,5403,39379,30207,29139,27638
A87019,NELSON MEDICAL GROUP,5817,34847,28998,27374,24129
A87020,MONKSEATON MEDICAL CENTRE,9116,43315,33032,30363,29156
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,5248,39042,31406,28617,25548
A87023,THE SMITH PRACTICE,5715,39326,31575,28736,25704
A87027,GARDEN PARK SURGERY,6855,33221,27718,26517,23495
A87029,PARK ROAD MEDICAL PRACT,4876,33104,28030,26197,22972
A87030,REDBURN PARK MEDICAL CENTRE,5079,31297,27046,24776,21075
A87600,PARK PARADE PRACTICE,4417,42959,33178,30591,28981
A87612,WELLSPRING MEDICAL PRACT.,5377,36684,29921,28555,26622
A87615,PRESTON & AUSTIN PRACTICE,4770,36696,29711,28269,26240
A88001,VICTORIA MEDICAL CENTRE,2912,32502,27935,26657,23390
A88002,FARNHAM MEDICAL CTR.,12473,31464,28354,26592,23718
A88003,MARSDEN RD. HEALTH CENTRE,11749,34060,29087,27621,25870
A88004,MAYFIELD MEDICAL GROUP,9179,31766,28147,26272,23335
