PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Total annual income (£),Practice_code_weighted_tot_of_Net annual income (£),Practice_code_weighted_tot_of_Net annual income before housing costs (£),Practice_code_weighted_tot_of_Net annual income after housing costs (£)
A82045,WIGTON GROUP MEDICAL PRACTICE,8174,35512,28097,26906,25365
A82046,WINDERMERE HEALTH CENTRE,5728,37936,29880,29240,25896
A82047,JAMES STREET GROUP PRACT,8987,34257,27220,26731,23698
A82048,BEECHWOOD GROUP PRACTICE,6655,34267,27312,26729,23699
A82049,ORCHARD HOUSE SURGERY,5319,34028,27221,26660,23571
A82050,OXFORD STREET SURGERY,7091,35646,28055,27265,24537
A82052,NORTH CARLISLE MEDICAL PRACTICE,7420,40591,31590,29417,27733
A82053,NUTWOOD MEDICAL PRACTICE,4675,38542,29903,29799,28032
A82055,ASPATRIA MEDICAL GROUP,7001,35360,28187,26731,24997
A82057,DERWENT HOUSE SURGERY,6633,41924,32727,30795,28736
A82058,QUEEN STREET MEDICAL PRACTICE,4082,41011,31654,29331,27643
A82060,WHITEHAVEN MEDICAL CENTRE,1803,39989,30839,28819,26984
A82062,ATKINSON HEALTH CENTRE (WIEJAK),4819,33610,25678,26006,23898
A82063,BANK STREET SURGERY,1747,37546,30576,29807,27488
A82064,WESTCROFT HOUSE SURGERY,4624,40878,32152,29673,27698
A82065,PENINSULA MEDICAL PRACTICE,2959,38068,29563,29485,27790
A82068,ULVERSTON HEALTH CENTRE (HAMBLY),3944,39413,30041,29682,27843
A82070,ST.MARY'S SURGERY,5982,37812,29839,29162,25921
A82071,BURNETT EDGAR MEDICAL CTR,4350,33962,25662,26594,24558
A82072,RISEDALE SURGERY,4546,35077,26744,26637,24687
A82074,ARNSIDE SURGERY,2394,39885,30360,30104,28364
A82075,MANSION HOUSE SURGERY,6463,40073,30868,28743,27018
A82077,LIVERPOOL HOUSE SURGERY,5327,35326,26947,26752,24893
A82608,SEDBERGH HEALTH CENTRE (LUMB),4116,39069,30578,30518,29301
A82613,WRAYSDALE HOUSE SURGERY,955,40465,32630,31602,29678
A82617,KIRKOSWALD SURGERY,2301,41453,31949,30111,27473
A82619,NELSON STREET SURGERY,1639,38183,29033,28449,27148
A82620,GLENRIDDING HEALTH CENTRE,732,40224,31736,31199,29195
A82621,ASKAM SURGERY,1598,37689,29402,28420,26831
A82623,SOLWAY HEALTH SERVICES,5453,34740,27506,26872,23916
A82629,THE FAMILY PRACTICE,3788,33364,25532,25833,23709
A82631,COURT THORN SURGERY,2951,42314,33111,30989,28217
A82635,GROSVENOR HOUSE SURGERY (W),1980,35255,27352,26839,24556
A82641,GROSVENOR HOUSE SURGERY (F),1972,36154,27988,27164,25037
A82642,HAWKSHEAD MEDICAL PRACTICE,1195,41456,32176,31691,29419
A82646,LONGTOWN MEDICAL CENTRE,3535,34284,28822,27923,23508
A82647,CARTMEL SURGERY,2376,38515,29893,29771,28012
A82650,HAVERTHWAITE SURGERY,2746,41022,32059,31393,29344
A82651,DUDDON VALLEY MEDICAL PRACTICE,3353,39779,31803,30711,28819
A82654,GROSVENOR HOUSE SURGERY (A),3992,35209,27304,26732,24507
A83001,ST ANDREW'S MEDICAL PRACTICE,10332,33262,26778,26080,23778
A83003,WILLINGTON MEDICAL GROUP,9152,32065,25376,23947,21180
A83004,DR. K R KAPOOR & PARTNER,3682,33120,25756,25101,22643
A83005,WHINFIELD MEDICAL PRACTICE,11446,34004,26652,26105,23678
A83006,ORCHARD COURT SURGERY,7727,32897,26054,25836,23464
A83007,DR. P. BURRELL & PARTNERS,9386,32447,25066,24546,22029
A83008,HALLGARTH SURGERY,5530,28305,21981,22698,19990
A83009,BRIDGE END SURGERY,8798,37164,28123,27631,25780
A83010,MOORLANDS SURGERY,14556,35844,27706,27075,25303
A83011,CLAYPATH & UNIVERSITY MEDICAL GROUP,27599,46236,33181,32838,30097
A83012,WILLIAM BROWN CENTRE,15116,32289,25810,24639,21961
A83013,NEASHAM ROAD SURGERY,11116,31061,25293,24637,21711
A83014,BELMONT & SHERBURN MEDICAL GROUP,7907,37580,26114,28028,26669
A83015,STATION VIEW MEDICAL CENTRE,10386,32995,25154,24735,21580
A83016,TANFIELD VIEW MEDICAL GROUP,11584,30620,24875,24149,21049
A83017,DR NAING & PARTNERS,7483,32781,25341,24825,22112
A83018,CONSETT MEDICAL CENTRE,19397,33754,25690,24929,22841
A83019,STATION ROAD SURGERY,5122,31523,25295,23976,21447
A83020,NORTH HOUSE SURGERY,13499,32387,24716,24160,21697
A83021,AUCKLAND MEDICAL GROUP,13574,33502,25235,24762,21889
A83022,THE MEDICAL GROUP,23804,35569,25793,26563,24271
A83023,STANLEY MEDICAL GROUP,10844,30343,24624,23896,20764
A83024,WEST RAINTON SURGERY,5811,35289,25770,26556,25045
A83025,BISHOPGATE MEDICAL CENTRE,13708,32319,24641,24334,21051
A83026,SACRISTON MEDICAL CENTRE,9734,34952,26712,26323,24079
A83027,COXHOE MEDICAL PRACTICE,6228,37010,25772,27272,25581
A83028,GROUP PRACTICE SURGERY,10082,38107,29283,27932,25871
A83029,THE SURGERY GREAT LUMLEY,4820,38563,29116,28140,26285
A83030,DUNELM MEDICAL PRACTICE,12069,37459,26414,28073,25932
A83031,CARMEL MEDICAL PRACTICE,10051,39548,29389,28964,27782
A83032,COCKFIELD SURGERY,2451,35018,25802,26344,24825
A83033,DR TYSON AND PARTNERS,8727,34930,26957,26199,23225
A83034,BLACKETTS MEDICAL PRACTICE,10069,35717,27511,27166,25137
A83035,THE WEARDALE PRACTICE,7119,37732,27226,27798,26280
A83036,CHASTLETON MEDICAL GROUP,11650,44475,31413,31143,30358
A83037,BEWICK CRESCENT SURGERY,13831,34639,27800,26604,24171
A83038,CEDARS MEDICAL GROUP,5829,34147,26548,26451,24087
A83040,CLIFTON COURT MEDICAL PRACTICE,11868,31787,25708,25100,22286
A83041,DR D S RANGAR & PARTNERS,7674,33219,25885,25175,21952
A83042,DR SIMPSON & PARTNERS,4979,34669,26455,25438,22669
A83043,OLD FORGE SURGERY,2695,39455,28412,29286,27252
A83044,THE HORDEN GROUP PRACTICE,6966,31128,25161,23948,20870
A83045,DR.OAKENFULL & PARTNERS,15023,30828,25725,24692,21284
A83046,BARNARD CASTLE SURGERY,10381,36564,27687,28062,27005
A83047,DENMARK STREET SURGERY,14015,33710,26308,25905,23475
A83048,ROCKLIFFE COURT SURGERY,5518,43982,32538,30717,30201
A83049,QUEENS ROAD SURGERY,12732,34818,26443,25725,23820
A83050,CESTRIA HEALTH CENTRE,11718,37805,28405,27732,25823
A83051,MARLBOROUGH SURGERY,10208,33733,25739,25264,23109
A83052,DR.WOOD & PARTNERS,8902,33358,26814,26170,23917
A83054,DR.JONES & PARTNERS,15506,36248,29026,27411,25436
A83055,CHEVELEY PARK MEDICAL CTR,3868,39576,27849,29381,28546
A83057,SHINWELL MEDICAL GROUP,5553,30569,24618,23712,20291
A83060,PINFOLD MEDICAL PRACTICE,3047,35053,25850,26385,24861
A83061,GAINFORD SURGERY,3300,38116,27911,27883,26388
A83066,JUBILEE MEDICAL GROUP,8654,33993,26369,25888,23313
A83068,JUPITER HOUSE,1650,30452,24544,23622,20197
A83070,FELIX HOUSE SURGERY,5586,44861,32895,31255,31013
A83071,THE NEW SEAHAM MEDICAL GROUP,5120,34001,25898,25393,23283
A83072,LANCHESTER MEDICAL CENTRE,3879,37337,27694,27875,26433
A83073,DRS LAMBERT & NG,4971,29667,24577,23909,20577
A83074,PEASEWAY MEDICAL CENTRE,11322,32502,26766,25712,22946
A83075,DR KV REDDY,4697,33597,25916,25292,22977
A83076,DIPTON SURGERY,2688,30987,25475,24886,21751
A83603,DR.ROY,2766,33302,26795,26029,23717
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,2771,35180,26534,25687,22750
A83616,DR MUDALAGIRI,2304,31452,25186,24047,21403
A83617,BROWNEY HOUSE SURGERY,2719,35051,26728,26851,24281
A83618,OAKFIELDS HEALTH CENTRE,4037,35547,27227,27038,24508
A83619,DR. S H S MANSOUR,2761,31337,25208,23893,21280
A83622,THE HAVEN SURGERY,1693,37276,27635,27859,26452
A83626,EVENWOOD MEDICAL PRACTICE,1993,34835,25705,26138,24517
A83627,SILVERDALE FAMILY PRACTICE,4573,33752,26374,25422,22815
A83630,DENHOLM HOUSE,2384,37387,26176,27202,25691
A83632,CRAGHEAD MEDICAL CENTRE,2592,29278,23874,22924,19847
A83634,WEST CORNFORTH MEDICAL CENTRE,2646,29338,25702,23439,20011
A83635,BOWBURN MEDICAL CENTRE,3727,39095,26797,28765,26373
A83636,LEADGATE SURGERY,5712,33565,25621,24968,22738
A83637,PELTON FELL SURGERY,2001,33889,26678,25770,22804
A83638,DR.BALIGA,1437,28769,22418,22984,20241
A83641,PARKGATE SURGERY,4730,30563,25061,24524,21542
A83644,ANNFIELD PLAIN SURGERY,3353,29275,24551,24004,20479
A84002,THE ROTHBURY PRACTICE,5272,40687,29260,29805,29253
A84003,LINTONVILLE MEDICAL GROUP,13232,32121,25242,25083,22724
A84005,BEDLINGTONSHIRE MED.GROUP,10969,36118,27622,27023,25703
A84006,THE BONDGATE SURGERY,8809,37051,28844,28333,27329
A84007,PONTELAND MEDICAL GROUP,10783,48197,34595,33583,32804
A84008,BELFORD MEDICAL PRACTICE,4501,34131,26159,26483,25301
A84009,WATERLOO MEDICAL GROUP,13968,31916,26144,25166,22288
A84011,WHITE MEDICAL GROUP,7127,48763,34738,33779,32646
A84013,THE GABLES MEDICAL GROUP,6266,32676,25514,25057,23168
A84014,MARINE MEDICAL GROUP,10476,32242,26263,25354,22584
A84015,LABURNUM SURGERY,2285,31097,24386,24496,22084
A84016,PRUDHOE MEDICAL GROUP,6635,38823,30234,28529,26659
A84018,CORBRIDGE HEALTH CENTRE,6827,46058,32577,32487,31430
A84020,GUIDEPOST MEDICAL GROUP,8501,33785,25470,25711,24411
A84021,INFIRMARY DRIVE MEDICAL GROUP,9568,36725,28796,27972,26940
A84022,COQUET MEDICAL GROUP,11244,35947,26581,26480,24982
A84024,BURN BRAE MEDICAL GROUP,8931,40359,30654,29674,29246
A84025,CRAMLINGTON MEDICAL GROUP,5527,33624,27929,26345,24076
A84026,WELL CLOSE MEDICAL GROUP,9325,32127,25765,25176,22988
A84027,BELLINGHAM PRACTICE,3256,37247,29296,28421,26544
A84028,SEATON PARK MEDICAL GROUP,19016,32461,25491,25175,22795
A84029,WIDDRINGTON SURGERY,2819,35386,26787,26176,24193
A84030,VILLAGE MEDICAL GROUP,9195,34445,28356,26939,24774
A84031,GREYSTOKE SURGERY,9068,46703,32771,30900,29844
A84032,CHEVIOT MEDICAL GROUP,2435,34126,26151,26474,25306
A84033,THE SELE MEDICAL PRACTICE,6070,40325,30618,29675,29185
A84034,HALTWHISTLE MEDICAL GROUP,5700,34164,26472,27236,25521
A84035,RIVERSDALE SURGERY,5869,42120,31374,30308,28198
A84036,WELLWAY MEDICAL GROUP,17548,38695,28911,27751,25907
A84037,NETHERFIELD HOUSE,5646,33667,27815,27078,24934
A84038,FORUM FAMILY PRACTICE,5908,34700,28668,26933,24822
A84039,GAS HOUSE LANE SURGERY,5127,47101,32841,30988,29955
A84040,HUMSHAUGH & WARK MED GRP,3653,39143,30164,29491,27775
A84042,SCOTS GAP MEDICAL GROUP,1880,47469,33270,31926,30710
A84043,BROCKWELL MEDICAL GROUP,17039,37332,31323,28121,26301
A84044,UNION BRAE & NORHAM PRAC,6837,32537,25883,25412,23341
A84045,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,5497,39990,30359,30313,28274
A84047,BRANCH END SURGERY,5461,45106,32180,31822,30337
A84048,STATION MEDICAL GROUP,8794,31787,26094,25073,22221
A84604,THE GLENDALE SURGERY,1945,34297,26242,26569,25422
A84609,MIDDLE FARM SURGERY,1623,40061,28539,28138,26866
A84613,HARBOTTLE SURGERY,823,39574,29075,29448,28676
A84614,THE ADDERLANE SURGERY,1966,38604,30118,28424,26567
A84619,ELSDON AVENUE SURGERY,3671,34248,27912,27373,25517
A85001,FELL TOWER MEDICAL CENTRE,7322,35544,27493,27059,25576
A85002,BENSHAM FAMILY PRACTICE,4543,31882,26215,25285,22448
A85003,ROWLANDS GILL MEDICAL CENTRE,6825,34967,27675,27118,25015
A85004,LONGRIGG MEDICAL CENTRE,10839,31175,26811,24477,22121
A85005,OXFORD TCE & RAWLING RD MEDICAL GROUP,15164,31028,26125,24890,21791
A85006,GLENPARK MEDICAL CENTRE,9232,32567,26722,26442,23444
A85007,FELL COTTAGE SURGERY,8404,35541,27547,27146,25415
A85008,BIRTLEY MEDICAL GROUP,15901,35287,28157,26272,23704
A85009,CROWHALL MEDICAL CENTRE,6679,29682,26243,24043,21206
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,11251,33437,27867,26252,24448
A85011,ST. ALBANS MEDICAL GROUP,8256,29591,26427,24208,21193
A85012,METRO INTERCHANGE SURGERY,3980,30057,26348,24328,21023
A85013,MILLENNIUM FAMILY PRACTICE,3373,31108,26667,25132,21969
A85014,CRAWCROOK MEDICAL CENTRE,7438,37536,28407,28134,26106
A85016,WREKENTON MEDICAL GROUP,10265,31371,26458,24321,21818
A85017,BEWICK ROAD SURGERY,6027,30632,26194,24481,21296
A85018,OLDWELL SURGERY,5246,32378,27576,25600,23727
A85019,CENTRAL GATESHEAD MEDICAL GROUP,10257,30854,26455,24840,21683
A85020,WHICKHAM COTTAGE MEDICAL CENTRE,16359,38003,28362,28656,27356
A85021,SECOND STREET SURGERY,2729,29914,25598,23995,20789
A85023,TEAMS MEDICAL PRACTICE,5138,30858,26312,25431,21586
A85024,CHOPWELL PRIMARY HEALTHCARE CENTRE,2686,32015,25763,25617,21329
A85026,BEACON VIEW MEDICAL CENTRE,4547,32653,26807,25203,22915
A85605,ELVASTON ROAD SURGERY,2291,37282,29134,28296,26275
A85609,108 RAWLING ROAD(RAWLING ROAD PRACTICE),1653,33370,26963,25942,23456
A85611,PELAW MEDICAL PRACTICE,5313,30623,26601,24286,21485
A85614,THE BRIDGES MEDICAL PRACTICE,4559,31101,26840,25249,21921
A85616,HOLLYHURST MEDICAL CENTRE,2485,33652,27871,26263,24339
A85617,SUNNISIDE SURGERY,3253,36420,27334,27464,25838
A85620,GRANGE ROAD MEDICAL PRACTICE,3607,37619,29187,28436,26431
A86003,SAVILLE MEDICAL GROUP,30615,35892,30165,26828,22761
A86004,PROSPECT MEDICAL CENTRE,15488,30088,25354,22380,18486
A86005,WEST FARM SURGERY,5756,33896,28157,26167,23384
A86006,ROSEWORTH SURGERY,5090,42354,31830,30265,28397
A86007,AVENUE MEDICAL PRACTICE,3038,50158,36278,32392,28972
A86008,PARK MEDICAL GROUP,11866,35223,28375,26424,24276
A86009,FALCON MEDICAL GROUP,6237,29773,26374,23956,19786
A86010,BIDDLESTONE HEALTH GROUP,9599,36120,29786,27755,24682
A86011,WALKER MEDICAL GROUP,11304,27148,25107,22207,18229
A86012,WEST ROAD MEDICAL CENTRE,9140,29456,24778,22067,18533
A86013,DENTON PARK MEDICAL GROUP,7156,32199,26446,24935,22808
A86015,HOLLY MEDICAL GROUP,8902,51548,36821,32868,29713
A86016,LANE END SURGERY,8557,39594,30696,29175,26879
A86017,CRUDDAS PARK SURGERY,9704,29823,25945,22855,19357
A86018,THE GROVE MEDICAL GROUP,12657,45498,33408,31679,29933
A86020,THE SURGERY-OSBORNE ROAD,5065,51637,36779,32947,30021
A86021,HOLMSIDE MEDICAL GROUP,9170,31168,25827,24018,21321
A86022,PARKWAY MEDICAL GROUP,7992,33850,26739,26017,24318
A86023,BENFIELD PARK MEDICAL GROUP,8498,32649,27923,25605,21922
A86024,HEATON ROAD SURGERY,7255,31810,27842,25259,21395
A86025,WESTERHOPE MEDICAL GROUP,12385,31577,26758,24859,21829
A86026,THROCKLEY PRIMARY CARE CENTRE,6550,35097,27695,26469,24137
A86027,NEWCASTLE MEDICAL CENTRE,13483,35799,30233,26350,21880
A86028,REGENT MEDICAL CENTRE,3770,40575,30986,29270,27297
A86029,THORNFIELD MEDICAL GROUP,11765,32920,28580,25912,21765
A86030,BETTS AVENUE MEDICAL GROUP,10251,30838,26510,23817,20535
A86031,FENHAM HALL SURGERY,8236,30979,25903,23459,19802
A86033,BRUNTON PARK,4468,46846,34573,32130,31165
A86035,BROADWAY MEDICAL CENTRE,2639,43276,32470,30448,29067
A86036,GOSFORTH MEMORIAL MED.CTR,8613,45931,33556,32012,30294
A86037,GRAINGER MEDICAL GROUP,6547,28358,24445,21376,17619
A86038,NEWBURN SURGERY,5372,33106,26670,25530,22998
A86040,ST.ANTHONY'S HEALTH CENTRE,6106,25794,24730,21417,16829
A86041,SWARLAND AVENUE SURGERY,4962,39289,30716,28995,26587
A86601,DENTON TURRET MEDICAL CENTRE,8239,30626,25924,24284,21203
A87002,SPRING TERRACE HEALTH CENTRE,6978,32788,26472,26618,22870
A87003,PORTUGAL PLACE HEALTH CTR,11794,30378,26143,24905,21469
A87004,COLLINGWOOD SURGERY,16959,33036,26569,26774,23144
A87005,WHITLEY BAY HEALTH CENTRE,12623,39390,30070,29915,28666
A87006,49 MARINE AVENUE SURGERY,6031,41448,31563,30854,29801
A87007,FOREST HALL HEALTH CENTRE,11033,35971,28427,28007,25614
A87008,MARINE AVENUE MEDICAL CTR,7311,41176,31647,30655,29416
A87009,PRIORY MEDICAL GROUP,14411,35034,27762,27934,24890
A87011,BEAUMONT PARK SURGERY,6596,42056,31848,31202,30534
A87012,WIDEOPEN MEDICAL CENTRE,7140,33266,27231,26691,24737
A87013,BEWICKE MEDICAL CENTRE,10119,30297,26877,24238,20200
A87014,EARSDON PARK MEDICAL PRACTICE,4291,35924,28976,27243,24320
A87015,APPLEBY SURGERY,5975,33558,26730,27053,23617
A87016,THE VILLAGE GREEN SURGERY,9611,30639,26330,25041,21346
A87017,WOODLANDS PARK HEALTH CTR,5403,35907,27705,27950,27309
A87019,NELSON MEDICAL GROUP,5817,32881,26516,26655,22837
A87020,MONKSEATON MEDICAL CENTRE,9116,40383,31259,30151,28986
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,5248,37727,29743,28217,25140
A87023,THE SMITH PRACTICE,5715,38167,29915,28372,25253
A87027,GARDEN PARK SURGERY,6855,31573,27425,25237,21580
A87029,PARK ROAD MEDICAL PRACT,4876,30265,26135,24798,21060
A87030,REDBURN PARK MEDICAL CENTRE,5079,29023,24943,24253,19295
A87600,PARK PARADE PRACTICE,4417,39531,30535,29779,28353
A87612,WELLSPRING MEDICAL PRACT.,5377,34239,28229,26981,23948
A87615,PRESTON & AUSTIN PRACTICE,4770,34407,28328,27267,24085
A88001,VICTORIA MEDICAL CENTRE,2912,30617,27181,24800,21947
A88002,FARNHAM MEDICAL CTR.,12473,29887,26433,24912,21007
A88003,MARSDEN RD. HEALTH CENTRE,11749,32860,27769,25822,23101
A88004,MAYFIELD MEDICAL GROUP,9179,29380,26920,24393,20989
