PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Total annual income (£),Practice_code_weighted_tot_of_Net annual income (£),Practice_code_weighted_tot_of_Net annual income before housing costs (£),Practice_code_weighted_tot_of_Net annual income after housing costs (£)
A81070,WYNYARD ROAD PRIMARY CARE CENTRE,1992,30473,25099,24708,21386
A81602,DR RASOOL,2520,38003,29462,28273,25006
A81605,PARK AVENUE SURGERY,2437,36185,28384,28085,25947
A81608,ELM TREE SURGERY,2618,34059,26714,25801,22840
A81609,A & B MEDICAL PRACTICE,1452,34329,27511,25739,22605
A81610,THE ROSEBERRY PRACTICE,8328,37515,29198,28000,24862
A81611,PARKWAY MEDICAL CENTRE,5056,39254,30393,28781,26134
A81612,THE PATEL PRACTICE,2960,38508,29769,28406,26042
A81613,JOURNEE MEDICAL PRACTICE,3369,33191,26674,26065,22896
A81618,HUNTCLIFF SURGERY,7582,39314,30241,29118,27845
A81621,THORNTREE SURGERY,2279,28941,22861,23274,19353
A81622,GLADSTONE HOUSE SURGERY,5162,33007,26506,26006,22777
A81623,NORTH SHORE MEDICAL PRACTICE,1633,35145,28111,26191,23215
A81629,RIVERSIDE MEDICAL PRACTICE,3889,36208,28620,26771,23990
A81630,FULCRUM MEDICAL PRACTICE,737,30547,23857,22885,19739
A81631,WEST VIEW MILLENIUM SURGERY A,6382,34828,27727,26433,23220
A81632,LAWSON STREET PRACTICE,693,34353,27254,25759,22576
A81633,HAVEN MEDICAL PRACTICE,670,28370,21477,21203,17951
A81634,THE ARRIVAL PRACTICE,1496,33129,26194,25041,21613
A82003,ULVERSTON HEALTH CENTRE (MURRAY),10628,42305,31510,31696,29888
A82004,ALSTON MEDICAL PRACTICE,2328,40076,31640,31799,29488
A82005,AMBLESIDE HEALTH CENTRE,5119,44365,33572,31884,28915
A82006,APPLEBY MEDICAL PRACTICE,4843,39395,30422,30931,30021
A82007,DUKE STREET SURGERY,9396,35375,27436,28921,25786
A82008,NORWOOD MEDICAL CENTRE,11041,36421,27966,29357,26217
A82009,BRIDGEGATE MEDICAL CENTRE,8776,35654,27601,28927,25937
A82010,ABBEY ROAD SURGERY,6505,38074,28895,30093,27121
A82011,HARTINGTON STREET MEDICAL PRACTICE,2589,34090,26662,28263,24927
A82012,BRAMPTON MEDICAL PRACTICE,15206,42533,31685,31278,29796
A82013,UPPER EDEN MEDICAL PRACTICE,6689,38074,30051,30187,29288
A82014,CALDBECK SURGERY,4302,42742,32214,31676,30659
A82015,WARWICK ROAD SURGERY,5897,36709,28311,28811,25893
A82016,ST PAUL'S MEDICAL PRACTICE,14364,38466,29315,29569,27124
A82017,BRUNSWICK HOUSE MEDICAL GROUP,14622,36750,28430,28689,25860
A82018,SPENCER ST SURGERY,11741,37798,28907,29349,26769
A82019,FUSEHILL MEDICAL PRACTICE,8333,37845,28982,29365,26640
A82020,EDEN MEDICAL GROUP,14675,37568,28760,29237,26578
A82021,CASTLEGATE SURGERY,10467,44434,33504,32961,31970
A82022,DALSTON MEDICAL GROUP,5033,42990,32001,31737,30602
A82023,DISTINGTON SURGERY,3808,37328,29905,30268,26644
A82024,SEASCALE HEALTH CENTRE,5627,43434,32731,33094,31084
A82025,CAPTAIN FRENCH SURGERY,9320,42471,32034,31190,29020
A82026,THE JAMES COCHRANE PRACT.,16176,43410,32440,31701,29811
A82027,STATION HOUSE SURGERY,10968,42938,32328,31653,29533
A82028,CASTLEHEAD MEDICAL CENTRE,6475,43292,33489,31369,30058
A82029,THE CROFT SURGERY,3369,40369,30709,30707,29577
A82030,LUNESDALE SURGERY,5977,45538,33958,32354,31878
A82031,SHAP MEDICAL PRACTICE,2843,40111,30849,31237,29980
A82032,MARYPORT HEALTH SERVICES,13662,34188,26944,27968,25232
A82033,WATERLOO HOUSE SURGERY,8408,35411,28605,28805,25907
A82034,STONELEIGH SURGERY,6610,46110,33863,32907,32601
A82035,BIRBECK MEDICAL GROUP,15867,41725,31175,31000,27975
A82036,THE LAKES MEDICAL PRACTICE,9094,41729,31170,30998,27927
A82037,SILLOTH GROUP MEDICAL PRACTICE,4230,34747,27314,28599,27374
A82038,TEMPLE SOWERBY MEDICAL PRACTICE,4475,40141,30861,31258,29683
A82039,DALTON SURGERY,7598,40347,30154,30911,27493
A82040,CATHERINE STREET SURGERY,2684,37424,29986,30869,27066
A82041,LOWTHER MEDICAL CENTRE,10659,37499,30013,30868,27089
A82044,FELLVIEW HEALTHCARE LTD,22152,38561,30264,31579,28103
A82045,WIGTON GROUP MEDICAL PRACTICE,8174,36086,28116,29201,28075
A82046,WINDERMERE HEALTH CENTRE,5728,44403,34931,32073,29463
A82047,JAMES STREET GROUP PRACT,8987,33908,27222,28802,25392
A82048,BEECHWOOD GROUP PRACTICE,6655,34070,27318,28880,25505
A82049,ORCHARD HOUSE SURGERY,5319,33904,27219,28870,25447
A82050,OXFORD STREET SURGERY,7091,35323,28049,29400,26216
A82052,NORTH CARLISLE MEDICAL PRACTICE,7420,42576,31688,31599,29886
A82053,NUTWOOD MEDICAL PRACTICE,4675,45271,33107,33155,34043
A82055,ASPATRIA MEDICAL GROUP,7001,36901,29288,28371,27378
A82057,DERWENT HOUSE SURGERY,6633,44329,33398,32873,31903
A82058,QUEEN STREET MEDICAL PRACTICE,4082,38522,30490,31459,27835
A82060,WHITEHAVEN MEDICAL CENTRE,1803,37669,30074,30959,27249
A82062,ATKINSON HEALTH CENTRE (WIEJAK),4819,34627,26974,28558,25334
A82063,BANK STREET SURGERY,1747,43275,33485,31344,30077
A82064,WESTCROFT HOUSE SURGERY,4624,39094,30570,32059,28536
A82065,PENINSULA MEDICAL PRACTICE,2959,44865,32852,32922,34235
A82068,ULVERSTON HEALTH CENTRE (HAMBLY),3944,42194,31459,31644,29831
A82070,ST.MARY'S SURGERY,5982,44186,34702,32016,29390
A82071,BURNETT EDGAR MEDICAL CTR,4350,34480,26940,28827,25485
A82072,RISEDALE SURGERY,4546,36063,27872,29145,26189
A82074,ARNSIDE SURGERY,2394,44155,32846,31944,31839
A82075,MANSION HOUSE SURGERY,6463,37641,30067,30967,27217
A82077,LIVERPOOL HOUSE SURGERY,5327,36441,28066,29287,26415
A82608,SEDBERGH HEALTH CENTRE (LUMB),4116,44187,32263,31060,30531
A82613,WRAYSDALE HOUSE SURGERY,955,45740,33399,33800,32657
A82617,KIRKOSWALD SURGERY,2301,43079,32697,32530,30377
A82619,NELSON STREET SURGERY,1639,40149,30069,30848,27511
A82620,GLENRIDDING HEALTH CENTRE,732,46017,34372,34154,30614
A82621,ASKAM SURGERY,1598,39925,28613,30530,26279
A82623,SOLWAY HEALTH SERVICES,5453,34349,27485,28972,25603
A82629,THE FAMILY PRACTICE,3788,34467,26872,28440,25190
A82631,COURT THORN SURGERY,2951,46021,33466,32850,31177
A82635,GROSVENOR HOUSE SURGERY (W),1980,37732,28838,29354,26616
A82641,GROSVENOR HOUSE SURGERY (F),1972,38426,29224,29659,27088
A82642,HAWKSHEAD MEDICAL PRACTICE,1195,47057,34402,34226,31844
A82646,LONGTOWN MEDICAL CENTRE,3535,38905,29464,29546,27117
A82647,CARTMEL SURGERY,2376,45203,33075,33112,34021
A82650,HAVERTHWAITE SURGERY,2746,45931,33578,33758,31976
A82651,DUDDON VALLEY MEDICAL PRACTICE,3353,43809,32136,32808,31059
A82654,GROSVENOR HOUSE SURGERY (A),3992,37593,28770,29313,26644
A83001,ST ANDREW'S MEDICAL PRACTICE,10332,36592,28371,27251,25364
A83003,WILLINGTON MEDICAL GROUP,9152,33697,26969,25942,23193
A83004,DR. K R KAPOOR & PARTNER,3682,34481,27551,26536,23713
A83005,WHINFIELD MEDICAL PRACTICE,11446,37894,28434,27213,24941
A83006,ORCHARD COURT SURGERY,7727,37666,27974,27393,25203
A83007,DR. P. BURRELL & PARTNERS,9386,31877,26214,26164,23529
A83008,HALLGARTH SURGERY,5530,30751,24765,25131,22752
A83009,BRIDGE END SURGERY,8798,39355,30279,29364,27571
A83010,MOORLANDS SURGERY,14556,40399,29828,28411,26781
A83011,CLAYPATH & UNIVERSITY MEDICAL GROUP,27599,41174,31691,31230,27816
A83012,WILLIAM BROWN CENTRE,15116,33039,26932,26495,24062
A83013,NEASHAM ROAD SURGERY,11116,35545,26655,26152,23541
A83014,BELMONT & SHERBURN MEDICAL GROUP,7907,40367,30312,29279,28198
A83015,STATION VIEW MEDICAL CENTRE,10386,34379,27536,26494,24205
A83016,TANFIELD VIEW MEDICAL GROUP,11584,34436,27447,26307,23969
A83017,DR NAING & PARTNERS,7483,34642,27477,26677,24714
A83018,CONSETT MEDICAL CENTRE,19397,37980,28962,27958,26435
A83019,STATION ROAD SURGERY,5122,33714,27533,26385,23897
A83020,NORTH HOUSE SURGERY,13499,34007,26842,26192,23871
A83021,AUCKLAND MEDICAL GROUP,13574,35067,27695,26513,24498
A83022,THE MEDICAL GROUP,23804,38033,29362,28663,26140
A83023,STANLEY MEDICAL GROUP,10844,33941,27258,26139,23712
A83024,WEST RAINTON SURGERY,5811,37583,29355,28200,26441
A83025,BISHOPGATE MEDICAL CENTRE,13708,33565,26911,26074,23696
A83026,SACRISTON MEDICAL CENTRE,9734,37376,29416,27889,25219
A83027,COXHOE MEDICAL PRACTICE,6228,40036,30466,28726,26689
A83028,GROUP PRACTICE SURGERY,10082,40256,30899,29592,27756
A83029,THE SURGERY GREAT LUMLEY,4820,39365,31592,29180,27516
A83030,DUNELM MEDICAL PRACTICE,12069,40312,30592,29078,27150
A83031,CARMEL MEDICAL PRACTICE,10051,43949,31694,29968,28869
A83032,COCKFIELD SURGERY,2451,37417,29615,28060,26704
A83033,DR TYSON AND PARTNERS,8727,36589,28465,27750,25454
A83034,BLACKETTS MEDICAL PRACTICE,10069,40891,29937,28862,27170
A83035,THE WEARDALE PRACTICE,7119,38210,30715,29217,28673
A83036,CHASTLETON MEDICAL GROUP,11650,48237,34570,33102,31964
A83037,BEWICK CRESCENT SURGERY,13831,38313,29130,28149,26520
A83038,CEDARS MEDICAL GROUP,5829,39040,29573,28012,26529
A83040,CLIFTON COURT MEDICAL PRACTICE,11868,36598,27398,26551,24171
A83041,DR D S RANGAR & PARTNERS,7674,33261,27121,26107,23020
A83042,DR SIMPSON & PARTNERS,4979,35475,28517,27444,25147
A83043,OLD FORGE SURGERY,2695,40520,30866,28932,29596
A83044,THE HORDEN GROUP PRACTICE,6966,31474,25777,25858,23284
A83045,DR.OAKENFULL & PARTNERS,15023,33336,26348,26684,23927
A83046,BARNARD CASTLE SURGERY,10381,40173,30714,29782,28529
A83047,DENMARK STREET SURGERY,14015,37850,28100,27474,25134
A83048,ROCKLIFFE COURT SURGERY,5518,47850,35336,32462,31121
A83049,QUEENS ROAD SURGERY,12732,39777,30315,28884,27755
A83050,CESTRIA HEALTH CENTRE,11718,39532,30246,29547,27296
A83051,MARLBOROUGH SURGERY,10208,35023,27766,26858,24082
A83052,DR.WOOD & PARTNERS,8902,36706,28428,27307,25459
A83054,DR.JONES & PARTNERS,15506,40413,30651,29144,27368
A83055,CHEVELEY PARK MEDICAL CTR,3868,43467,31719,30446,29726
A83057,SHINWELL MEDICAL GROUP,5553,30634,25224,25556,22927
A83060,PINFOLD MEDICAL PRACTICE,3047,37464,29613,28080,26733
A83061,GAINFORD SURGERY,3300,40695,31254,29575,28419
A83066,JUBILEE MEDICAL GROUP,8654,37010,28543,27533,25606
A83068,JUPITER HOUSE,1650,30486,25125,25485,22854
A83070,FELIX HOUSE SURGERY,5586,48303,36018,32344,31402
A83071,THE NEW SEAHAM MEDICAL GROUP,5120,35262,27937,26965,24218
A83072,LANCHESTER MEDICAL CENTRE,3879,41954,32539,29632,28850
A83073,DRS LAMBERT & NG,4971,33705,26776,25924,23559
A83074,PEASEWAY MEDICAL CENTRE,11322,36331,27889,27122,25335
A83075,DR KV REDDY,4697,34918,27788,26766,23978
A83076,DIPTON SURGERY,2688,35623,27585,26616,24583
A83603,DR.ROY,2766,36533,28325,27282,25349
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,2771,36489,29132,27755,25624
A83616,DR MUDALAGIRI,2304,33316,27309,26310,23805
A83617,BROWNEY HOUSE SURGERY,2719,38876,30183,28537,26051
A83618,OAKFIELDS HEALTH CENTRE,4037,40264,31097,29458,28556
A83619,DR. S H S MANSOUR,2761,33399,27306,26239,23706
A83622,THE HAVEN SURGERY,1693,41875,32544,29590,28896
A83626,EVENWOOD MEDICAL PRACTICE,1993,37176,29418,27858,26463
A83627,SILVERDALE FAMILY PRACTICE,4573,34375,27844,26791,23934
A83630,DENHOLM HOUSE,2384,38877,29825,29371,26544
A83632,CRAGHEAD MEDICAL CENTRE,2592,33177,26693,25603,23056
A83634,WEST CORNFORTH MEDICAL CENTRE,2646,31628,25318,26179,23330
A83635,BOWBURN MEDICAL CENTRE,3727,43030,32351,30022,28246
A83636,LEADGATE SURGERY,5712,37607,28767,27745,26266
A83637,PELTON FELL SURGERY,2001,35793,27892,27448,25034
A83638,DR.BALIGA,1437,31289,25083,25301,22973
A83641,PARKGATE SURGERY,4730,35705,26824,26194,23668
A83644,ANNFIELD PLAIN SURGERY,3353,33349,26385,25777,23409
A84002,THE ROTHBURY PRACTICE,5272,43240,34375,30999,30826
A84003,LINTONVILLE MEDICAL GROUP,13232,33393,27042,26475,23497
A84005,BEDLINGTONSHIRE MED.GROUP,10969,38453,30391,28576,25881
A84006,THE BONDGATE SURGERY,8809,41055,31232,29578,28318
A84007,PONTELAND MEDICAL GROUP,10783,52462,38878,35849,34762
A84008,BELFORD MEDICAL PRACTICE,4501,37030,28309,28175,27558
A84009,WATERLOO MEDICAL GROUP,13968,34785,27267,26484,23653
A84011,WHITE MEDICAL GROUP,7127,52181,38633,35678,34728
A84013,THE GABLES MEDICAL GROUP,6266,34348,27282,26932,23896
A84014,MARINE MEDICAL GROUP,10476,34977,27372,26674,23884
A84015,LABURNUM SURGERY,2285,32240,26220,25746,22809
A84016,PRUDHOE MEDICAL GROUP,6635,41486,31208,29356,27043
A84018,CORBRIDGE HEALTH CENTRE,6827,48651,36239,33890,33317
A84020,GUIDEPOST MEDICAL GROUP,8501,35244,28276,27630,24944
A84021,INFIRMARY DRIVE MEDICAL GROUP,9568,40401,31139,29531,27927
A84022,COQUET MEDICAL GROUP,11244,38185,30875,28841,27146
A84024,BURN BRAE MEDICAL GROUP,8931,43157,32372,31006,29902
A84025,CRAMLINGTON MEDICAL GROUP,5527,38118,29210,27846,25658
A84026,WELL CLOSE MEDICAL GROUP,9325,35503,26293,26542,24659
A84027,BELLINGHAM PRACTICE,3256,40836,30953,29816,28339
A84028,SEATON PARK MEDICAL GROUP,19016,33505,27199,26682,23679
A84029,WIDDRINGTON SURGERY,2819,36671,29602,27986,25801
A84030,VILLAGE MEDICAL GROUP,9195,38644,29493,28355,26134
A84031,GREYSTOKE SURGERY,9068,47629,35300,32699,31404
A84032,CHEVIOT MEDICAL GROUP,2435,36870,28319,28224,27640
A84033,THE SELE MEDICAL PRACTICE,6070,43072,32349,30980,29860
A84034,HALTWHISTLE MEDICAL GROUP,5700,36947,29425,27750,26629
A84035,RIVERSDALE SURGERY,5869,44726,33386,31019,29697
A84036,WELLWAY MEDICAL GROUP,17548,40132,31263,29523,27522
A84037,NETHERFIELD HOUSE,5646,37713,28773,28357,25807
A84038,FORUM FAMILY PRACTICE,5908,38966,29650,28370,26146
A84039,GAS HOUSE LANE SURGERY,5127,47731,35473,32825,31531
A84040,HUMSHAUGH & WARK MED GRP,3653,41856,31768,30521,28974
A84042,SCOTS GAP MEDICAL GROUP,1880,48545,36723,33797,32955
A84043,BROCKWELL MEDICAL GROUP,17039,41025,30633,29507,26805
A84044,UNION BRAE & NORHAM PRAC,6837,36002,26695,26744,24975
A84045,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,5497,41476,31989,30614,28816
A84047,BRANCH END SURGERY,5461,47498,35375,32953,32085
A84048,STATION MEDICAL GROUP,8794,34499,27094,26417,23585
A84604,THE GLENDALE SURGERY,1945,37033,28488,28305,27733
A84609,MIDDLE FARM SURGERY,1623,41675,33071,30577,29213
A84613,HARBOTTLE SURGERY,823,42508,33559,30617,30231
A84614,THE ADDERLANE SURGERY,1966,41307,31106,29282,26951
A84619,ELSDON AVENUE SURGERY,3671,38342,29153,28536,26129
A85001,FELL TOWER MEDICAL CENTRE,7322,40090,30115,28340,26486
A85002,BENSHAM FAMILY PRACTICE,4543,36534,27627,26420,24442
A85003,ROWLANDS GILL MEDICAL CENTRE,6825,37945,30109,27652,26326
A85004,LONGRIGG MEDICAL CENTRE,10839,34364,26893,26332,23536
A85005,OXFORD TCE & RAWLING RD MEDICAL GROUP,15164,36276,27367,26190,23809
A85006,GLENPARK MEDICAL CENTRE,9232,37252,28131,27424,25343
A85007,FELL COTTAGE SURGERY,8404,40402,30242,28449,26456
A85008,BIRTLEY MEDICAL GROUP,15901,37345,30363,27672,25493
A85009,CROWHALL MEDICAL CENTRE,6679,33216,25882,25611,22772
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,11251,36539,28211,27578,25364
A85011,ST. ALBANS MEDICAL GROUP,8256,33310,25836,25797,22757
A85012,METRO INTERCHANGE SURGERY,3980,34511,26496,25825,22602
A85013,MILLENNIUM FAMILY PRACTICE,3373,36068,27363,26629,23713
A85014,CRAWCROOK MEDICAL CENTRE,7438,40825,31290,29505,28054
A85016,WREKENTON MEDICAL GROUP,10265,34679,27091,26255,23122
A85017,BEWICK ROAD SURGERY,6027,35645,27148,25874,23252
A85018,OLDWELL SURGERY,5246,35247,27287,26963,24447
A85019,CENTRAL GATESHEAD MEDICAL GROUP,10257,35772,27202,26331,23418
A85020,WHICKHAM COTTAGE MEDICAL CENTRE,16359,42087,31695,30237,28978
A85021,SECOND STREET SURGERY,2729,34769,26426,25270,23128
A85023,TEAMS MEDICAL PRACTICE,5138,35072,26278,25949,23386
A85024,CHOPWELL PRIMARY HEALTHCARE CENTRE,2686,34981,27728,27297,25227
A85026,BEACON VIEW MEDICAL CENTRE,4547,36626,28083,26862,24157
A85605,ELVASTON ROAD SURGERY,2291,41305,31638,29379,28346
A85609,108 RAWLING ROAD(RAWLING ROAD PRACTICE),1653,37899,28682,27271,25251
A85611,PELAW MEDICAL PRACTICE,5313,33980,26019,25803,23136
A85614,THE BRIDGES MEDICAL PRACTICE,4559,36395,27500,26745,23739
A85616,HOLLYHURST MEDICAL CENTRE,2485,36760,28430,27528,25391
A85617,SUNNISIDE SURGERY,3253,40419,30483,28592,27535
A85620,GRANGE ROAD MEDICAL PRACTICE,3607,41642,31874,29526,28539
A86003,SAVILLE MEDICAL GROUP,30615,35615,28399,26958,24392
A86004,PROSPECT MEDICAL CENTRE,15488,33102,26701,23900,21613
A86005,WEST FARM SURGERY,5756,38938,28818,28003,26087
A86006,ROSEWORTH SURGERY,5090,48702,35419,32169,31911
A86007,AVENUE MEDICAL PRACTICE,3038,42838,33597,29413,28749
A86008,PARK MEDICAL GROUP,11866,42017,31754,28850,27664
A86009,FALCON MEDICAL GROUP,6237,33472,26021,25954,22915
A86010,BIDDLESTONE HEALTH GROUP,9599,41231,30681,29267,27485
A86011,WALKER MEDICAL GROUP,11304,31041,24307,24594,21236
A86012,WEST ROAD MEDICAL CENTRE,9140,33233,26472,23918,21836
A86013,DENTON PARK MEDICAL GROUP,7156,35575,28345,26957,25026
A86015,HOLLY MEDICAL GROUP,8902,44920,34836,30290,29655
A86016,LANE END SURGERY,8557,46145,33470,30657,29760
A86017,CRUDDAS PARK SURGERY,9704,34154,26919,25219,22886
A86018,THE GROVE MEDICAL GROUP,12657,51988,37366,33572,33719
A86020,THE SURGERY-OSBORNE ROAD,5065,47118,35786,31196,30391
A86021,HOLMSIDE MEDICAL GROUP,9170,34743,27398,26037,23928
A86022,PARKWAY MEDICAL GROUP,7992,36975,29453,28170,26210
A86023,BENFIELD PARK MEDICAL GROUP,8498,36158,27649,27093,24468
A86024,HEATON ROAD SURGERY,7255,35273,27158,26957,24091
A86025,WESTERHOPE MEDICAL GROUP,12385,35800,28458,26715,24739
A86026,THROCKLEY PRIMARY CARE CENTRE,6550,37491,29482,28471,26573
A86027,NEWCASTLE MEDICAL CENTRE,13483,34901,28158,26420,23565
A86028,REGENT MEDICAL CENTRE,3770,46987,34665,31485,31063
A86029,THORNFIELD MEDICAL GROUP,11765,34733,26984,26761,23904
A86030,BETTS AVENUE MEDICAL GROUP,10251,35583,27905,25975,23982
A86031,FENHAM HALL SURGERY,8236,34614,27767,25043,23070
A86033,BRUNTON PARK,4468,53420,38678,33553,33739
A86035,BROADWAY MEDICAL CENTRE,2639,49973,36450,32423,32247
A86036,GOSFORTH MEMORIAL MED.CTR,8613,52868,37630,33920,34102
A86037,GRAINGER MEDICAL GROUP,6547,32143,25287,23381,21020
A86038,NEWBURN SURGERY,5372,35581,28446,27404,25300
A86040,ST.ANTHONY'S HEALTH CENTRE,6106,29654,23434,23994,20466
A86041,SWARLAND AVENUE SURGERY,4962,45946,33268,30542,29554
A86601,DENTON TURRET MEDICAL CENTRE,8239,34326,27201,25875,23865
A87002,SPRING TERRACE HEALTH CENTRE,6978,36980,28268,28103,25648
A87003,PORTUGAL PLACE HEALTH CTR,11794,34602,26360,26441,23486
A87004,COLLINGWOOD SURGERY,16959,37238,28515,28228,25849
A87005,WHITLEY BAY HEALTH CENTRE,12623,47018,34047,31141,30806
A87006,49 MARINE AVENUE SURGERY,6031,48857,35087,31888,31717
A87007,FOREST HALL HEALTH CENTRE,11033,41223,31099,29446,28205
A87008,MARINE AVENUE MEDICAL CTR,7311,48461,34893,31771,31428
A87009,PRIORY MEDICAL GROUP,14411,39597,29835,29289,27214
A87011,BEAUMONT PARK SURGERY,6596,48990,35020,32038,31943
A87012,WIDEOPEN MEDICAL CENTRE,7140,38495,29754,28809,27474
A87013,BEWICKE MEDICAL CENTRE,10119,33476,25803,25898,22676
A87014,EARSDON PARK MEDICAL PRACTICE,4291,40103,30070,28583,26815
A87015,APPLEBY SURGERY,5975,37878,28852,28484,26154
A87016,THE VILLAGE GREEN SURGERY,9611,35006,26646,26536,23588
A87017,WOODLANDS PARK HEALTH CTR,5403,42901,32552,30081,30178
A87019,NELSON MEDICAL GROUP,5817,36999,28248,28148,25632
A87020,MONKSEATON MEDICAL CENTRE,9116,47058,34048,31390,30796
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,5248,41470,31323,29190,27590
A87023,THE SMITH PRACTICE,5715,42023,31668,29359,27927
A87027,GARDEN PARK SURGERY,6855,35059,27018,26958,24214
A87029,PARK ROAD MEDICAL PRACT,4876,34715,26377,26349,23301
A87030,REDBURN PARK MEDICAL CENTRE,5079,32457,25385,25980,22752
A87600,PARK PARADE PRACTICE,4417,47097,34226,30977,30584
A87612,WELLSPRING MEDICAL PRACT.,5377,38205,29074,28406,26495
A87615,PRESTON & AUSTIN PRACTICE,4770,38005,29221,28553,26613
A88001,VICTORIA MEDICAL CENTRE,2912,35073,27472,26492,23658
A88002,FARNHAM MEDICAL CTR.,12473,32538,26177,26078,22862
A88003,MARSDEN RD. HEALTH CENTRE,11749,35249,28142,27072,24330
A88004,MAYFIELD MEDICAL GROUP,9179,33005,26419,25919,22950
